Outcome,Feature,Coefficient,AbsoluteCoefficient
H,VenueGoalDifferenceFormDifference5,0.049924426618901854,0.049924426618901854
D,VenueGoalDifferenceFormDifference5,-0.036819640452493765,0.036819640452493765
A,VenueGoalDifferenceFormDifference5,-0.01310478616640809,0.01310478616640809
H,VenueWinRateFormDifference5,-0.04236001999427605,0.04236001999427605
D,VenueWinRateFormDifference5,0.015070867034340333,0.015070867034340333
A,VenueWinRateFormDifference5,0.027289152959935704,0.027289152959935704
H,RestDaysDifference,0.026063593990165404,0.026063593990165404
D,RestDaysDifference,0.01324206853368121,0.01324206853368121
A,RestDaysDifference,-0.03930566252384669,0.03930566252384669
H,ShortRestDifference3,0.053887135795725585,0.053887135795725585
D,ShortRestDifference3,-0.0070905636070835885,0.0070905636070835885
A,ShortRestDifference3,-0.04679657218864201,0.04679657218864201
H,MatchesLast7DaysDifference,-0.03361919445751344,0.03361919445751344
D,MatchesLast7DaysDifference,0.052080889080147755,0.052080889080147755
A,MatchesLast7DaysDifference,-0.018461694622634237,0.018461694622634237
H,MatchesLast14DaysDifference,0.012750217006733327,0.012750217006733327
D,MatchesLast14DaysDifference,-0.006129470844386277,0.006129470844386277
A,MatchesLast14DaysDifference,-0.0066207461623471135,0.0066207461623471135
H,AwayMatchWeek,0.011702444997898602,0.011702444997898602
D,AwayMatchWeek,-0.013383157656638297,0.013383157656638297
A,AwayMatchWeek,0.0016807126587396804,0.0016807126587396804
H,HomeMatchWeek,0.012230446241394978,0.012230446241394978
D,HomeMatchWeek,-0.014406762981139038,0.014406762981139038
A,HomeMatchWeek,0.002176316739744026,0.002176316739744026
H,HomeSeasonProgress,0.012230446241394966,0.012230446241394966
D,HomeSeasonProgress,-0.014406762981139033,0.014406762981139033
A,HomeSeasonProgress,0.0021763167397439733,0.0021763167397439733
H,AwaySeasonProgress,0.011702444997898572,0.011702444997898572
D,AwaySeasonProgress,-0.013383157656638268,0.013383157656638268
A,AwaySeasonProgress,0.0016807126587396108,0.0016807126587396108
H,AverageSeasonProgress,0.011970777013124054,0.011970777013124054
D,AverageSeasonProgress,-0.013900034695248902,0.013900034695248902
A,AverageSeasonProgress,0.001929257682124874,0.001929257682124874
H,SeasonProgressDifference,0.009978475526918279,0.009978475526918279
D,SeasonProgressDifference,-0.019268489840381174,0.019268489840381174
A,SeasonProgressDifference,0.009290014313462786,0.009290014313462786
H,MatchesPlayedDifference,0.009978475526917874,0.009978475526917874
D,MatchesPlayedDifference,-0.01926848984038091,0.01926848984038091
A,MatchesPlayedDifference,0.009290014313462942,0.009290014313462942
H,SecondHalfSeason,-0.03145876880754671,0.03145876880754671
D,SecondHalfSeason,0.048997427675624185,0.048997427675624185
A,SecondHalfSeason,-0.017538658868077484,0.017538658868077484
H,HomePointsBefore,0.006148020026902734,0.006148020026902734
D,HomePointsBefore,0.012408849087627875,0.012408849087627875
A,HomePointsBefore,-0.01855686911453065,0.01855686911453065
H,AwayPointsBefore,0.02673678449193572,0.02673678449193572
D,AwayPointsBefore,-0.018179626583027308,0.018179626583027308
A,AwayPointsBefore,-0.008557157908908411,0.008557157908908411
H,HomeGoalDifferenceBefore,0.01951740906103579,0.01951740906103579
D,HomeGoalDifferenceBefore,0.008811053144603856,0.008811053144603856
A,HomeGoalDifferenceBefore,-0.028328462205639653,0.028328462205639653
H,AwayGoalDifferenceBefore,-0.02103092856746955,0.02103092856746955
D,AwayGoalDifferenceBefore,-0.00912756610267018,0.00912756610267018
A,AwayGoalDifferenceBefore,0.03015849467013978,0.03015849467013978
H,HomeLeaguePosition,0.005441638211924257,0.005441638211924257
D,HomeLeaguePosition,-0.030418599115931446,0.030418599115931446
A,HomeLeaguePosition,0.024976960904007244,0.024976960904007244
H,AwayLeaguePosition,0.023579607055506293,0.023579607055506293
D,AwayLeaguePosition,0.019710023634741364,0.019710023634741364
A,AwayLeaguePosition,-0.04328963069024761,0.04328963069024761
H,PointsDifference,-0.02475770060377838,0.02475770060377838
D,PointsDifference,0.0368056763018652,0.0368056763018652
A,PointsDifference,-0.012047975698086846,0.012047975698086846
H,PositionDifference,0.01164937398875717,0.01164937398875717
D,PositionDifference,0.03605708543793944,0.03605708543793944
A,PositionDifference,-0.04770645942669657,0.04770645942669657
H,GoalDifferenceDifference,0.028062658689357443,0.028062658689357443
D,GoalDifferenceDifference,0.01241462879625239,0.01241462879625239
A,GoalDifferenceDifference,-0.04047728748560982,0.04047728748560982
H,HomeTop4Before,0.05311235299708249,0.05311235299708249
D,HomeTop4Before,-0.08131602386257908,0.08131602386257908
A,HomeTop4Before,0.028203670865496595,0.028203670865496595
H,HomeTop6Before,0.05035701827353672,0.05035701827353672
D,HomeTop6Before,-0.01932164139995699,0.01932164139995699
A,HomeTop6Before,-0.03103537687357974,0.03103537687357974
H,HomeTopHalfBefore,-0.0027460575920862486,0.0027460575920862486
D,HomeTopHalfBefore,-0.030535805669687294,0.030535805669687294
A,HomeTopHalfBefore,0.0332818632617735,0.0332818632617735
H,HomeBottom3Before,0.007831271816023786,0.007831271816023786
D,HomeBottom3Before,0.03929467893248426,0.03929467893248426
A,HomeBottom3Before,-0.047125950748508116,0.047125950748508116
H,AwayTop4Before,-0.05021820523775388,0.05021820523775388
D,AwayTop4Before,0.021586786789121307,0.021586786789121307
A,AwayTop4Before,0.028631418448632533,0.028631418448632533
H,AwayTop6Before,0.043897913680261885,0.043897913680261885
D,AwayTop6Before,0.002814690181939157,0.002814690181939157
A,AwayTop6Before,-0.046712603862200996,0.046712603862200996
H,AwayTopHalfBefore,-0.02423755662250406,0.02423755662250406
D,AwayTopHalfBefore,0.04406494490484242,0.04406494490484242
A,AwayTopHalfBefore,-0.01982738828233828,0.01982738828233828
H,AwayBottom3Before,0.016061817820885366,0.016061817820885366
D,AwayBottom3Before,-0.021212123802213764,0.021212123802213764
A,AwayBottom3Before,0.005150305981328443,0.005150305981328443
