Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2021-22,2022-03-14,Crystal Palace,Man City,D,0.1596832261959826,0.0985829329648713,9.88,H,0,0.0611002932311113,0.0611002932311113,0.10121457489878542,0.05846865129719718,0.5776702748163083,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-02,Burnley,Man City,A,0.1214281834158371,0.058788000805315085,16.5,H,0,0.06264018261052201,0.06264018261052201,0.06060606060606061,0.06082212280977649,1.0035650263613123,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-04,Crystal Palace,Arsenal,H,0.4224182729213933,0.2356469288930422,4.15,H,1,0.18677134402835108,0.18677134402835108,0.24096385542168672,0.18145441749970656,0.7530358326237823,True,3.1500000000000004,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-08,Newcastle,Wolves,H,0.4411852468787445,0.21998084037841867,4.47,A,0,0.22120440650032583,0.22120440650032583,0.2237136465324385,0.217471600346306,0.9720980535479877,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-17,Newcastle,Leicester,H,0.518143802165978,0.25070765359843566,3.9,A,0,0.26743614856754233,0.26743614856754233,0.25641025641025644,0.26173354575572155,1.020760828447314,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-20,Chelsea,Arsenal,A,0.7746416112192459,0.49841517277214864,1.96,H,0,0.27622643844709727,0.27622643844709727,0.5102040816326531,0.26443752958659283,0.518297557989722,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-20,Everton,Leicester,D,0.5209322733825891,0.3375783526931172,2.9,A,0,0.18335392068947187,0.18335392068947187,0.3448275862068966,0.1761046871756925,0.5107035928095083,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-20,Newcastle,Crystal Palace,H,0.4507265393274752,0.2763610694432189,3.54,A,0,0.17436546988425627,0.17436546988425627,0.2824858757062147,0.1682406636212605,0.5955719492192622,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-04-23,Leicester,Aston Villa,D,0.6161053496597131,0.32054312676109614,3.05,H,0,0.29556222289861694,0.29556222289861694,0.3278688524590164,0.28823649720069666,0.8791213164621248,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-05-01,Tottenham,Leicester,H,0.1914356972534344,0.10800187123215929,9.05,A,0,0.08343382602127511,0.08343382602127511,0.11049723756906077,0.08093845968437363,0.7324930601435815,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
