Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,ModelPredictedOutcome,ModelProbability_H,ModelProbability_D,ModelProbability_A,MarketRecordedOutcome,MarketOdds_H,MarketOdds_D,MarketOdds_A,RawImpliedProbability_H,RawImpliedProbability_D,RawImpliedProbability_A,RawImpliedProbabilityTotal,MarketOverround,MarketProbability_H,MarketProbability_D,MarketProbability_A,MarketPredictedOutcome,ModelObservedOutcomeProbability,MarketObservedOutcomeProbability,ModelFixtureLogLoss,MarketFixtureLogLoss,ModelMinusMarketFixtureLoss
2020-21,2020-09-27,Man City,Leicester,1,2020-21,Independent Poisson,A,H,0.6104032649527291,0.2243547358124412,0.1652419992348295,A,1.32,5.9,9.96,0.7575757575757576,0.1694915254237288,0.1004016064257028,1.027468889425189,0.027468889425189102,0.7373223319682005,0.16496025054203808,0.0977174174897615,H,0.1652419992348295,0.0977174174897615,1.800344217550552,2.3256754605946846,-0.5253312430441326
2020-21,2020-09-27,Sheffield United,Leeds,1,2020-21,Independent Poisson,A,H,0.4004268048685236,0.2585820092045074,0.3409911859269688,A,3.09,3.44,2.47,0.3236245954692557,0.29069767441860467,0.4048582995951417,1.019180569483002,0.019180569483002063,0.31753411040147694,0.2852268607966755,0.3972390288018476,A,0.3409911859269688,0.3972390288018476,1.0758986497541774,0.9232170918149172,0.1526815579392602
2020-21,2020-09-27,Tottenham,Newcastle,1,2020-21,Independent Poisson,D,H,0.5379559647811702,0.2440610242671664,0.2179830109516633,D,1.42,5.05,8.16,0.7042253521126761,0.19801980198019803,0.12254901960784313,1.0247941737007173,0.024794173700717348,0.6871871154083466,0.19322885225343608,0.11958403233821717,H,0.2440610242671664,0.19322885225343608,1.4103369855029906,1.6438800295677447,-0.23354304406475412
2020-21,2020-09-27,West Ham,Wolves,1,2020-21,Independent Poisson,H,A,0.2927060331850981,0.2497156864010133,0.4575782804138885,H,3.43,3.35,2.33,0.29154518950437314,0.29850746268656714,0.4291845493562232,1.0192372015471634,0.01923720154716335,0.28604253167154675,0.292873398099524,0.4210840702289294,A,0.2927060331850981,0.28604253167154675,1.2285864733166836,1.251614767080563,-0.023028293763879493
2020-21,2020-09-28,Fulham,Aston Villa,1,2020-21,Independent Poisson,A,A,0.3356238267795824,0.2526321715599134,0.411744001660504,A,3.04,3.49,2.48,0.32894736842105265,0.28653295128939826,0.40322580645161293,1.0187061261620638,0.018706126162063796,0.32290702880167144,0.28127145202208625,0.39582151917624236,A,0.411744001660504,0.39582151917624236,0.887353477946702,0.9267918784784581,-0.03943840053175607
2020-21,2020-09-28,Liverpool,Arsenal,1,2020-21,Independent Poisson,H,H,0.7516958517034134,0.1528299270081283,0.0954742212884582,H,1.5,5.25,5.95,0.6666666666666666,0.19047619047619047,0.1680672268907563,1.0252100840336134,0.025210084033613356,0.6502732240437159,0.18579234972677597,0.16393442622950818,H,0.7516958517034134,0.6502732240437159,0.28542348936733564,0.43036265972989146,-0.14493917036255582
2020-21,2020-10-03,Chelsea,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.5346689932648145,0.2438809345467683,0.2214500721884172,H,1.56,4.31,6.67,0.641025641025641,0.2320185614849188,0.14992503748125938,1.022969239991819,0.0229692399918191,0.6266323716935686,0.22680893267795063,0.14655869562848084,H,0.5346689932648145,0.6266323716935686,0.6261074277404594,0.4673952393446764,0.15871218839578294
2020-21,2020-10-03,Everton,Brighton,1,2020-21,Independent Poisson,H,H,0.555479867830447,0.2399318378513844,0.2045882943181686,H,1.81,3.86,4.78,0.5524861878453039,0.2590673575129534,0.20920502092050208,1.0207585662787593,0.020758566278759272,0.5412506013634818,0.2537988571160368,0.20495054152048156,H,0.555479867830447,0.5412506013634818,0.5879229120885408,0.613872888601885,-0.025949976513344297
2020-21,2020-10-03,Leeds,Man City,1,2020-21,Independent Poisson,D,A,0.2033936931448928,0.2131982504305939,0.5834080564245132,D,8.85,7.49,1.28,0.11299435028248588,0.13351134846461948,0.78125,1.0277556987471055,0.027755698747105484,0.10994281074795559,0.1299057243150076,0.7601514649370367,A,0.2131982504305939,0.1299057243150076,1.5455327929596072,2.040946289186381,-0.4954134962267738
2020-21,2020-10-03,Newcastle,Burnley,1,2020-21,Independent Poisson,H,H,0.394445444125962,0.2758625596351655,0.3296919962388726,H,2.45,3.38,3.17,0.4081632653061224,0.2958579881656805,0.31545741324921134,1.0194786667210143,0.01947866672101428,0.40036469484831155,0.2902051782184507,0.3094301269332377,H,0.394445444125962,0.40036469484831155,0.9302744394482593,0.9153794101332059,0.014895029315053376
