BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
247,185,-20.28,-0.10962162162162163
248,175,31.119999999999997,0.17782857142857142
249,175,16.46,0.09405714285714287
250,179,33.3,0.1860335195530726
251,183,55.09,0.3010382513661202
252,180,-32.58,-0.181
253,178,17.380000000000003,0.09764044943820226
254,180,15.32,0.08511111111111111
255,181,-33.209999999999994,-0.18348066298342539
256,182,-3.1800000000000015,-0.01747252747252748
257,184,3.3500000000000014,0.018206521739130444
258,174,-15.7,-0.09022988505747126
259,169,-54.589999999999996,-0.3230177514792899
260,179,50.660000000000004,0.28301675977653634
261,172,-42.51,-0.24715116279069765
262,169,-9.23,-0.05461538461538462
263,194,-7.739999999999998,-0.03989690721649484
264,173,2.1600000000000037,0.012485549132947998
265,176,24.099999999999994,0.13693181818181815
266,173,-8.760000000000002,-0.05063583815028903
267,168,51.679999999999986,0.3076190476190475
268,173,13.419999999999998,0.0775722543352601
269,187,0.5200000000000031,0.002780748663101621
270,192,45.190000000000005,0.23536458333333335
271,171,-5.970000000000001,-0.03491228070175439
272,172,-22.360000000000007,-0.13000000000000003
273,181,50.309999999999995,0.27795580110497237
274,185,-12.019999999999989,-0.06497297297297291
275,183,-8.779999999999994,-0.0479781420765027
276,186,39.55,0.21263440860215052
277,183,-23.230000000000004,-0.12693989071038253
278,192,36.29,0.18901041666666665
279,162,3.9200000000000026,0.024197530864197545
280,180,-20.120000000000008,-0.11177777777777782
281,170,29.17,0.17158823529411765
282,173,15.870000000000006,0.09173410404624281
283,184,71.4,0.3880434782608696
284,175,27.07,0.1546857142857143
285,183,-5.879999999999999,-0.032131147540983604
286,176,-13.579999999999998,-0.0771590909090909
287,178,29.94,0.16820224719101123
288,177,24.209999999999994,0.1367796610169491
289,182,-19.739999999999995,-0.10846153846153843
290,182,-9.059999999999999,-0.04978021978021977
291,177,49.720000000000006,0.28090395480225994
292,182,3.519999999999996,0.01934065934065932
293,184,-60.81999999999999,-0.33054347826086955
294,200,1.8499999999999943,0.009249999999999972
295,174,21.32,0.12252873563218392
296,178,-15.030000000000001,-0.08443820224719102
297,169,102.22,0.6048520710059172
298,178,-11.920000000000002,-0.06696629213483148
299,186,-1.3300000000000018,-0.007150537634408612
300,171,20.21,0.11818713450292398
301,182,-11.660000000000004,-0.06406593406593408
302,167,12.599999999999994,0.07544910179640715
303,168,15.89,0.09458333333333334
304,178,0.120000000000001,0.0006741573033707921
305,181,18.669999999999995,0.1031491712707182
306,176,45.459999999999994,0.2582954545454545
307,181,-9.719999999999999,-0.05370165745856353
308,172,52.31000000000001,0.30412790697674424
309,173,-37.06999999999999,-0.2142774566473988
310,189,14.130000000000003,0.07476190476190478
311,177,-29.130000000000003,-0.1645762711864407
312,191,48.45,0.2536649214659686
313,168,19.93999999999999,0.11869047619047614
314,168,75.50999999999999,0.44946428571428565
315,171,41.870000000000005,0.24485380116959066
316,187,31.730000000000004,0.16967914438502676
317,172,-14.47999999999999,-0.08418604651162785
318,189,17.900000000000002,0.09470899470899471
319,190,-30.940000000000005,-0.16284210526315793
320,179,59.33,0.33145251396648046
321,180,27.77,0.15427777777777776
322,176,33.190000000000005,0.18857954545454547
323,185,-3.2199999999999953,-0.01740540540540538
324,177,-45.62,-0.2577401129943503
325,165,-7.219999999999999,-0.04375757575757575
326,181,-25.93,-0.14325966850828728
327,171,40.24999999999999,0.23538011695906427
328,172,4.909999999999993,0.028546511627906935
329,186,64.50999999999999,0.3468279569892473
330,188,70.45,0.3747340425531915
331,177,44.73000000000002,0.2527118644067798
332,181,23.379999999999995,0.129171270718232
333,170,-10.889999999999997,-0.06405882352941175
334,176,12.250000000000004,0.06960227272727275
335,177,30.779999999999998,0.17389830508474574
336,177,-1.4700000000000033,-0.00830508474576273
337,180,76.44999999999999,0.42472222222222217
338,172,-16.099999999999998,-0.09360465116279068
339,176,24.800000000000004,0.14090909090909093
340,173,7.910000000000001,0.04572254335260116
341,179,55.55,0.31033519553072625
342,172,18.119999999999997,0.10534883720930231
343,167,14.25,0.08532934131736528
344,178,-39.59,-0.22241573033707868
345,182,28.399999999999995,0.15604395604395602
346,183,-3.399999999999995,-0.018579234972677567
347,179,-20.080000000000002,-0.11217877094972067
348,175,40.769999999999996,0.23297142857142855
349,186,8.559999999999995,0.04602150537634406
350,184,9.620000000000001,0.052282608695652176
351,179,16.529999999999998,0.09234636871508378
352,189,11.139999999999986,0.05894179894179887
353,167,17.57,0.10520958083832335
354,183,-5.719999999999999,-0.03125683060109289
355,175,-46.379999999999995,-0.2650285714285714
356,183,42.739999999999995,0.23355191256830599
357,169,55.45,0.32810650887573967
358,178,19.819999999999993,0.11134831460674154
359,168,24.510000000000005,0.14589285714285719
360,186,60.440000000000005,0.3249462365591398
361,175,6.599999999999998,0.0377142857142857
362,195,1.7999999999999972,0.009230769230769216
363,182,-6.489999999999995,-0.03565934065934063
364,187,87.66999999999999,0.46882352941176464
365,171,48.739999999999995,0.28502923976608185
366,184,6.110000000000003,0.033206521739130454
367,180,-7.960000000000001,-0.044222222222222225
368,184,19.44,0.10565217391304349
369,181,-24.879999999999992,-0.13745856353591157
370,174,3.639999999999997,0.020919540229885042
371,181,-10.989999999999998,-0.060718232044198885
372,170,-18.489999999999995,-0.10876470588235292
373,175,33.52,0.19154285714285715
374,165,27.77,0.1683030303030303
375,176,17.230000000000004,0.09789772727272729
376,178,31.799999999999997,0.1786516853932584
377,175,-0.8999999999999986,-0.005142857142857135
378,180,60.870000000000005,0.33816666666666667
379,181,-15.459999999999997,-0.08541436464088396
380,174,-5.700000000000006,-0.03275862068965521
381,173,-20.539999999999996,-0.11872832369942193
382,177,25.13,0.1419774011299435
383,169,34.83,0.206094674556213
