Season,Date,HomeTeam,AwayTeam,PSH,PSD,PSA,PSCH,PSCD,PSCA,EarlierOverround,ClosingOverround,EarlierMargin,ClosingMargin,EarlierNoVigProbability_H,ClosingNoVigProbability_H,EarlierNoVigProbability_D,ClosingNoVigProbability_D,EarlierNoVigProbability_A,ClosingNoVigProbability_A
2022-23,2022-11-05,Nott'm Forest,Brentford,2.83,3.43,2.66,2.7,3.24,2.92,1.0208419295877973,1.0214780991036698,0.020841929587797292,0.021478099103669823,0.3461426105430886,0.36258278145695366,0.28559288275129463,0.3021523178807947,0.3682645067056168,0.3352649006622517
2022-23,2022-11-05,Wolves,Brighton,3.49,3.33,2.3,3.64,3.33,2.24,1.0216158602853507,1.0214541464541464,0.021615860285350674,0.02145414645414645,0.2804703435294807,0.26895507319535583,0.29394639607143774,0.2939929328621908,0.4255832603990817,0.43705199394245325
2022-23,2022-11-06,Aston Villa,Man United,3.38,3.63,2.22,3.18,3.57,2.34,1.021790532280043,1.021927880973386,0.021790532280042907,0.02192788097338605,0.2895485706894321,0.30771780930911014,0.26960720907170266,0.2741015780400477,0.44084422023886505,0.41818061265084205
2022-23,2022-11-06,Chelsea,Arsenal,2.72,3.5,2.71,2.71,3.48,2.69,1.0223650345747153,1.0281072237718916,0.02236503457471528,0.028107223771891565,0.3596044919283294,0.3589155698012798,0.2794640622985874,0.27950034314984723,0.3609314457730834,0.361584087048873
2022-23,2022-11-06,Southampton,Newcastle,4.22,3.71,1.93,4.49,3.8,1.85,1.0246433186461978,1.0264155844978724,0.024643318646197843,0.026415584497872402,0.23126762292037426,0.21698535426022814,0.263059129036113,0.2563853264811643,0.5056732480435127,0.5266293192586077
2022-23,2022-11-06,Tottenham,Liverpool,3.33,3.76,2.19,3.59,3.89,2.05,1.022878751675021,1.0234258188225667,0.02287875167502107,0.02342581882256667,0.2935834768378381,0.2721755958374148,0.26000877071010664,0.25118518998877093,0.4464077524520552,0.4766392141738142
2022-23,2022-11-06,West Ham,Crystal Palace,1.95,3.56,4.34,1.89,3.59,4.6,1.024134135768786,1.0250433654817814,0.02413413576878609,0.025043365481781432,0.5007356897009924,0.5161737999756197,0.2742793805946447,0.27174609525178867,0.2249849297043629,0.2120801047725916
2022-23,2022-11-12,Bournemouth,Everton,2.94,3.32,2.63,2.88,3.26,2.73,1.0215690105810065,1.0202710547802571,0.021569010581006465,0.020271054780257147,0.3329545541209399,0.3403235057932775,0.2948452979263745,0.30065389468853965,0.37220014795268563,0.3590225995181829
2022-23,2022-11-12,Liverpool,Southampton,1.26,6.49,11.55,1.28,6.66,9.77,1.0343140851615427,1.0337542954930365,0.03431408516154266,0.033754295493036546,0.767320879640577,0.7557405114601167,0.14897138803499646,0.14524742562596837,0.08370773232442659,0.09901206291391498
2022-23,2022-11-12,Man City,Brentford,1.15,9.28,20.24,1.15,9.0,19.5,1.0267309527054655,1.031958379784467,0.02673095270546555,0.03195837978446692,0.8469260764954784,0.8426359380626575,0.10495312370364224,0.10767014764133954,0.04812079980087945,0.049693914296002874
2022-23,2022-11-12,Newcastle,Chelsea,2.36,3.53,3.18,2.17,3.46,3.67,1.0214803413445235,1.0223263981607176,0.02148034134452348,0.022326398160717575,0.41481837330475596,0.4507655225538954,0.2773289974502051,0.28270554449189395,0.307852629245039,0.26652893295421065
2022-23,2022-11-12,Nott'm Forest,Crystal Palace,3.25,3.31,2.43,3.34,3.2,2.44,1.0213297450625411,1.021737263178561,0.02132974506254115,0.02173726317856106,0.3012663727653072,0.2930314948809559,0.29580535090249194,0.30585162278199773,0.40292827633220096,0.40111688233704623
2022-23,2022-11-12,Tottenham,Leeds,1.67,4.35,5.15,1.65,4.42,5.24,1.0228622099623987,1.0231446446084973,0.02286220996239874,0.0231446446084973,0.5854184360096688,0.5923508560146088,0.22474684784739007,0.22112645077468426,0.18983471614294112,0.18652269321070694
2022-23,2022-11-12,West Ham,Leicester,2.14,3.56,3.64,1.99,3.68,4.03,1.0229138707559373,1.02239065106523,0.022913870755937316,0.022390651065230083,0.45682215578994867,0.4915073922971634,0.27460657679508155,0.2657879648563465,0.2685712674149698,0.2427046428464901
2022-23,2022-11-12,Wolves,Arsenal,6.5,4.3,1.56,6.54,4.22,1.57,1.0274299344066784,1.0268146985805437,0.027429934406678402,0.02681469858054375,0.14973882762623336,0.14891216398453655,0.22634939059779458,0.2307785669333813,0.6239117817759722,0.6203092690820822
2022-23,2022-11-13,Brighton,Aston Villa,1.88,3.84,4.33,1.76,3.85,5.05,1.0232784425007782,1.025941879902276,0.02327844250077815,0.02594187990227592,0.5198144234496729,0.5538148206172646,0.25449247814723575,0.25317248942503523,0.22569309840309124,0.19301268995770016
2022-23,2022-11-13,Fulham,Man United,4.0,4.02,1.91,4.29,3.9,1.87,1.0223164283295565,1.0242698477992596,0.022316428329556492,0.02426984779925956,0.24454268079061856,0.22757697456492637,0.24332605053792894,0.25033467202141907,0.5121312686714524,0.5220883534136546
2022-23,2022-12-26,Arsenal,West Ham,1.52,4.48,6.85,1.57,4.3,6.43,1.027094424016245,1.0250218100284894,0.027094424016244956,0.025021810028489355,0.6405396830697815,0.6213942658854571,0.21732596389867584,0.22688116219538784,0.14213435303154276,0.15172457191915517
2022-23,2022-12-26,Aston Villa,Liverpool,4.51,4.09,1.79,4.89,4.13,1.73,1.0248874854053804,1.0246644101913642,0.02488748540538044,0.024664410191364228,0.21634520196572685,0.1995765398613978,0.23856157967369881,0.236302489085287,0.5450932183605743,0.5641209710533153
2022-23,2022-12-26,Brentford,Tottenham,4.0,3.89,1.93,3.36,3.68,2.2,1.0252041237662666,1.0239036325992847,0.025204123766266573,0.02390363259928474,0.24385387671050454,0.2906709558823529,0.25074948762005606,0.2653952205882353,0.5053966356694395,0.44393382352941174
2022-23,2022-12-26,Crystal Palace,Fulham,2.09,3.66,3.68,2.29,3.55,3.3,1.0234320736721607,1.021401666582797,0.023432073672160714,0.021401666582796963,0.46751407526710037,0.4275313395252085,0.26696842002957366,0.2757878218345711,0.26551750470332597,0.29668083864022043
2022-23,2022-12-26,Everton,Wolves,2.41,3.26,3.34,2.57,3.25,3.07,1.0210874231985587,1.0225302650808676,0.02108742319855872,0.02253026508086764,0.40636849490938404,0.38053158097475587,0.3004135192428269,0.300912665570807,0.29321798584778913,0.3185557534544373
2022-23,2022-12-26,Leicester,Newcastle,3.36,3.64,2.22,3.47,3.51,2.23,1.0227947727947728,1.0215152162141734,0.022794772794772822,0.021515216214173405,0.2909860859044162,0.2821146797092099,0.2686025408348457,0.27889969760426164,0.440411373260738,0.4389856226865284
2022-23,2022-12-26,Southampton,Brighton,3.5,3.6,2.18,3.83,3.52,2.08,1.0222076598223386,1.0259567456042653,0.022207659822338632,0.025956745604265308,0.27950708739938745,0.2544908514543128,0.27174300163829335,0.2769033980312552,0.44874991096231925,0.4686057505144318
2022-23,2022-12-27,Chelsea,Bournemouth,1.32,5.72,10.69,1.37,5.35,9.25,1.025946301905142,1.0249510032578455,0.025946301905142022,0.024951003257845494,0.7384165781083952,0.7121579519207938,0.17040382571732202,0.18236568114607243,0.09117959617428269,0.10547636693313378
2022-23,2022-12-27,Man United,Nott'm Forest,1.31,5.7,11.66,1.36,5.5,9.2,1.0245606684276454,1.0258079516391536,0.02456066842764537,0.025807951639153615,0.7450596164280365,0.716795104261106,0.17123299956503996,0.1772438803263826,0.08370738400692349,0.10596101541251135
2022-23,2022-12-28,Leeds,Man City,9.78,6.09,1.31,10.34,6.03,1.3,1.029811879857985,1.0317800473405427,0.029811879857984946,0.03178004734054274,0.09928948262536731,0.0937329609045428,0.1594501051028066,0.16072948851624752,0.741260412271826,0.7455375505792096
2022-23,2022-12-30,Liverpool,Leicester,1.31,6.08,9.55,1.26,6.43,12.34,1.032544504721297,1.0302090661326515,0.03254450472129711,0.030209066132651508,0.7392986695832533,0.7703783821570463,0.1592896804529707,0.15096061609920347,0.1014116499637761,0.07866100174375028
2022-23,2022-12-30,West Ham,Brentford,2.08,3.66,3.73,2.15,3.65,3.53,1.022089789230386,1.0223750007896633,0.02208978923038596,0.022375000789663257,0.47037866519656824,0.4549370619494025,0.26731902284395137,0.2679766255318398,0.26230231195948045,0.27708631251875787
2022-23,2022-12-31,Bournemouth,Crystal Palace,2.97,3.32,2.6,3.01,3.22,2.65,1.0225205405928297,1.0201434103984803,0.022520540592829708,0.020143410398480333,0.32928466796875,0.325665891907777,0.29457092285156256,0.304426812000748,0.3761444091796875,0.369907296091475
2022-23,2022-12-31,Brighton,Arsenal,3.6,3.62,2.13,4.47,3.77,1.87,1.023504439775547,1.023724994211129,0.02350443977554706,0.023724994211129058,0.2713987033008807,0.21852904617692734,0.2698992629511521,0.2591047311434656,0.4587020337479673,0.522366222679607
2022-23,2022-12-31,Fulham,Southampton,2.04,3.59,3.95,1.84,3.9,4.47,1.0219121674268241,1.02360216381226,0.021912167426824114,0.023602163812260102,0.47968513738875107,0.5309467682692834,0.27257874102313434,0.25049796246550815,0.24773612158811445,0.21855526926520844
2022-23,2022-12-31,Man City,Everton,1.16,7.97,23.85,1.15,9.75,20.0,1.0294682011203549,1.022129319955407,0.029468201120354864,0.0221293199554069,0.8373925144837545,0.8507389431204669,0.12187896070277983,0.10034356765010634,0.040728524813465616,0.04891748922942685
2022-23,2022-12-31,Newcastle,Leeds,1.49,4.8,6.8,1.46,4.87,6.94,1.0265330964600605,1.0343625349043957,0.026533096460060523,0.03436253490439567,0.6537937665251182,0.662177412402724,0.2029484816921721,0.19851725299958461,0.14325775178270972,0.13930533459769123
2022-23,2022-12-31,Wolves,Man United,4.16,3.71,1.94,4.12,3.69,1.96,1.0253903118861298,1.023925238261695,0.025390311886129835,0.023925238261695014,0.23443230601861803,0.23704703969793908,0.2628674913847577,0.26467040746761766,0.5027002025966243,0.4982825528344434
2022-23,2023-01-01,Nott'm Forest,Chelsea,5.43,3.98,1.7,5.8,4.2,1.63,1.0236536381397836,1.0240059637140237,0.023653638139783606,0.024005963714023748,0.17990661660692822,0.16837186424003936,0.2454504844662362,0.2325135268076734,0.5746428989268355,0.5991146089522873
2022-23,2023-01-01,Tottenham,Aston Villa,1.7,4.21,5.01,1.68,4.26,5.1,1.025365783732242,1.0260583106482029,0.025365783732242075,0.026058310648202854,0.573683365926764,0.5801211189080073,0.23165361569489287,0.22878015956935502,0.1946630183783431,0.19109872152263774
2022-23,2023-01-02,Brentford,Liverpool,5.76,4.56,1.58,6.24,4.65,1.54,1.0258207491302094,1.0246608230479197,0.025820749130209375,0.024660823047919722,0.16924117713383696,0.15639947058746445,0.2137783290111625,0.2098779992399523,0.6169804938550005,0.6337225301725833
2022-23,2023-01-03,Arsenal,Newcastle,1.83,3.95,4.45,1.78,3.91,4.88,1.0243317455173147,1.022470261299199,0.02433174551731465,0.022470261299198935,0.5334678826689327,0.5494514354824775,0.24715094310991062,0.25013390157514326,0.21938117422115663,0.2004146629423791
2022-23,2023-01-03,Everton,Brighton,3.67,3.51,2.15,3.23,3.39,2.43,1.0224961280027498,1.0161054077021332,0.022496128002749805,0.0161054077021332,0.266484690328299,0.3046903607372311,0.27863214059967445,0.29030969474373347,0.45488316907202664,0.40499994451903554
2022-23,2023-01-03,Leicester,Fulham,2.26,3.73,3.2,2.36,3.67,3.06,1.023074390851503,1.0230057632129346,0.02307439085150298,0.02300576321293457,0.4324982426135417,0.4141998303396895,0.2620498735406446,0.26635193449636707,0.3054518838458138,0.3194482351639435
2022-23,2023-01-03,Man United,Bournemouth,1.29,6.02,10.83,1.29,6.05,11.5,1.0336428586766793,1.0274395763870898,0.033642858676679266,0.027439576387089826,0.7499629025077905,0.7544908880924367,0.1607063362516694,0.1608749166345857,0.08933076124054015,0.08463419527297769
2022-23,2023-01-04,Aston Villa,Wolves,1.99,3.76,3.93,1.95,3.58,4.32,1.0229229358312324,1.0236316032405417,0.022922935831232394,0.0236316032405417,0.4912516331503761,0.5009815163942393,0.25999753988543844,0.27288099356669454,0.24875082696418538,0.2261374900390663
2022-23,2023-01-04,Crystal Palace,Tottenham,3.39,3.58,2.23,3.32,3.47,2.31,1.0227453529495532,1.022289690217887,0.022745352949553155,0.02228969021788707,0.28842492404070913,0.29463744196902814,0.273117456005029,0.2819009531231047,0.4384576199542619,0.4234616049078673
2022-23,2023-01-04,Leeds,West Ham,2.65,3.59,2.73,2.93,3.45,2.56,1.0222103888998302,1.021777000791413,0.02221038889983018,0.021777000791413093,0.3691593185353709,0.3340229111276677,0.2724992184174743,0.28367742887074393,0.35834146304715486,0.38229966000158844
2022-23,2023-01-04,Southampton,Nott'm Forest,2.1,3.52,3.82,2.43,3.37,3.19,1.022061489993427,1.0217381626138178,0.022061489993427053,0.02173816261381778,0.46591176837465875,0.40276721453967795,0.27795872545079076,0.29042265024671143,0.2561295061745506,0.30681013521361056
2022-23,2023-01-05,Chelsea,Man City,5.6,4.19,1.65,5.44,4.19,1.67,1.0232955191189081,1.0212894091082192,0.023295519118908148,0.021289409108219193,0.17450621568751185,0.17999161429890648,0.2332302644033571,0.23368839660764945,0.5922635199091311,0.586319989093444
2022-23,2023-01-12,Fulham,Chelsea,3.43,3.6,2.21,4.07,3.48,2.04,1.0218116550649563,1.0232526459706988,0.021811655064956303,0.02325264597069876,0.28532184777814035,0.2401168926049192,0.27184831607750604,0.2808263657764429,0.4428298361443537,0.4790567416186378
2022-23,2023-01-13,Aston Villa,Leeds,1.96,3.7,4.11,2.05,3.66,3.89,1.0237833543360133,1.0180983305049875,0.023783354336013307,0.018098330504987548,0.4983516087381123,0.4791333640698774,0.2639916630072162,0.26836704818121543,0.23765672825467152,0.2524995877489071
2022-23,2023-01-14,Brentford,Bournemouth,1.69,4.14,5.23,1.61,4.15,6.25,1.0244664589613017,1.0220818678440469,0.02446645896130173,0.022081867844046865,0.5775845281760587,0.607698885934187,0.2357772590863621,0.2357578810491665,0.18663821273757916,0.15654323301664658
2022-23,2023-01-14,Brighton,Liverpool,3.39,3.74,2.17,2.9,3.81,2.41,1.0231944229694057,1.022232537144046,0.02319442296940566,0.02223253714404594,0.2882983371639071,0.33732793046315046,0.2613185462528463,0.25675879221604625,0.45038311658324665,0.4059132773208034
2022-23,2023-01-14,Everton,Southampton,2.28,3.48,3.36,2.42,3.26,3.31,1.0235718606861983,1.022086410378914,0.02357186068619832,0.022086410378914012,0.42849604221635884,0.404293742974897,0.28073878627968335,0.3001198950917947,0.29076517150395775,0.2955863619333084
2022-23,2023-01-14,Man United,Man City,4.26,3.98,1.86,4.18,4.02,1.91,1.0236324740467444,1.011550878090322,0.0236324740467444,0.011550878090321959,0.22932233002490615,0.23650263663693266,0.24545555927288945,0.24591567690108918,0.5252221107022044,0.5175816864619782
2022-23,2023-01-14,Nott'm Forest,Leicester,2.74,3.46,2.72,2.8,3.2,2.84,1.0216279035136269,1.0217555331991952,0.021627903513626867,0.02175553319919521,0.35723721170343603,0.3495384615384615,0.28289883238942626,0.3058461538461538,0.3598639559071377,0.34461538461538466
2022-23,2023-01-14,Wolves,West Ham,2.75,3.29,2.82,2.54,3.17,3.19,1.022197660495533,1.0226378244752377,0.022197660495532956,0.022637824475237656,0.3557397729320598,0.38498555204879176,0.29735087403135696,0.30847422782458395,0.34690935303658316,0.3065402201266242
2022-23,2023-01-15,Chelsea,Crystal Palace,1.68,3.96,5.64,1.88,3.5,4.8,1.0250683123023547,1.0259625126646403,0.025068312302354734,0.025962512664640336,0.5806813927368027,0.5184545117886681,0.24634968176712846,0.27848413776077025,0.1729689254960689,0.20306135045056167
2022-23,2023-01-15,Newcastle,Fulham,1.53,4.55,6.52,1.47,4.74,7.33,1.0267492241508842,1.0276682210003867,0.02674922415088421,0.027668221000386684,0.6365670953219851,0.6619569379904776,0.21405442985552461,0.2052904427945152,0.14937847482249034,0.1327526192150071
