Season,Date,HomeTeam,AwayTeam,Outcome,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability
2015-16,2016-02-02,West Brom,Swansea,H,2.68,2.59,0.36561973341504517,0.37842442959452627
2015-16,2016-02-02,West Ham,Aston Villa,H,1.89,1.86,0.5174920490686052,0.5259887616165982
2015-16,2016-02-03,Everton,Newcastle,H,1.68,1.74,0.5832038462241559,0.5631048588247032
2015-16,2016-02-03,Watford,Chelsea,H,4.32,5.0,0.22682274445552078,0.19624141669678352
2015-16,2016-02-06,Aston Villa,Norwich,H,2.44,2.56,0.4015935538947716,0.38311149504984254
2015-16,2016-02-06,Liverpool,Sunderland,H,1.45,1.43,0.6756461606870574,0.6846886989342079
2015-16,2016-02-06,Man City,Leicester,H,1.61,1.6,0.6097006088521318,0.613267680918213
2015-16,2016-02-06,Newcastle,West Brom,H,2.22,2.29,0.44149147163823876,0.42791488679856804
2015-16,2016-02-06,Southampton,West Ham,H,1.77,1.71,0.5539108760951537,0.5730178294408909
2015-16,2016-02-06,Stoke,Everton,H,2.66,2.94,0.3682864450127877,0.33326760007887984
2015-16,2016-02-06,Swansea,Crystal Palace,H,2.26,2.39,0.43387181649762474,0.41033999896274015
2015-16,2016-02-06,Tottenham,Watford,H,1.51,1.52,0.6496432530118176,0.6445721908149653
2015-16,2016-02-07,Bournemouth,Arsenal,H,3.84,4.53,0.255181489198377,0.21636051373954598
2015-16,2016-02-07,Chelsea,Man United,H,2.1,2.14,0.4666470156773765,0.4583049764580064
2015-16,2016-02-13,Bournemouth,Stoke,H,2.07,1.95,0.4735753473894085,0.5021532414231625
2015-16,2016-02-13,Chelsea,Newcastle,H,1.46,1.39,0.671840073111048,0.7041981040820275
2015-16,2016-02-13,Crystal Palace,Watford,H,2.24,2.23,0.43731133024753466,0.43934782686441193
2015-16,2016-02-13,Everton,West Brom,H,1.52,1.5,0.6452728303408456,0.6529784343366694
2015-16,2016-02-13,Norwich,West Ham,H,2.43,2.5,0.40330489688990395,0.3918444932226019
2015-16,2016-02-13,Sunderland,Man United,H,5.1,5.27,0.19183554169914266,0.18613937837997788
2015-16,2016-02-13,Swansea,Southampton,H,3.24,3.2,0.30251639904723976,0.3067940352394742
2015-16,2016-02-14,Arsenal,Leicester,H,1.71,1.68,0.5721897912988856,0.5837873174983657
2015-16,2016-02-14,Aston Villa,Liverpool,H,4.89,5.81,0.2003546578092229,0.16837392743777016
2015-16,2016-02-14,Man City,Tottenham,H,2.06,2.15,0.47571282749234434,0.45583358456436535
2015-16,2016-02-27,Leicester,Norwich,H,1.57,1.57,0.6235886079622825,0.6247653415661345
2015-16,2016-02-27,Southampton,Chelsea,H,2.9,3.23,0.33842393466851084,0.3032917565413111
2015-16,2016-02-27,Stoke,Aston Villa,H,1.69,1.92,0.5792996625546275,0.5106742721242638
2015-16,2016-02-27,Watford,Bournemouth,H,2.45,2.64,0.3998319371865235,0.3713426305715067
2015-16,2016-02-27,West Brom,Crystal Palace,H,2.84,2.96,0.3451971517613198,0.3310286806883366
2015-16,2016-02-27,West Ham,Sunderland,H,1.85,1.86,0.5299556491017062,0.52651220933055
2015-16,2016-02-28,Man United,Arsenal,H,3.32,3.46,0.2950617283950618,0.2834013991715624
2015-16,2016-02-28,Tottenham,Swansea,H,1.48,1.5,0.6631963873929422,0.6538237556707479
2015-16,2016-03-01,Aston Villa,Everton,H,4.44,5.48,0.22085491619113873,0.1790325569901773
2015-16,2016-03-01,Bournemouth,Southampton,H,2.91,2.86,0.33696820062638594,0.3423372322975272
