Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI,OddsBand
2023-24,2024-02-04,Chelsea,Wolves,A,0.3958759779018691,0.1610485707057931,6.02,A,1,0.23482740719607603,0.23482740719607603,0.16611295681063123,0.2297630210912379,1.383173386969252,True,5.02,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,5.00 to 7.99
2021-22,2021-08-15,Tottenham,Man City,H,0.2526648406088871,0.16359167708664565,5.97,H,1,0.08907316352224146,0.08907316352224146,0.16750418760469013,0.08516065300419698,0.508409098435056,True,4.97,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,5.00 to 7.99
2021-22,2022-02-13,Tottenham,Wolves,A,0.2984940581225204,0.16523542983663206,5.9,A,1,0.13325862828588833,0.13325862828588833,0.1694915254237288,0.12900253269879158,0.7611149429228703,True,4.9,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,5.00 to 7.99
2023-24,2023-09-30,Everton,Luton,A,0.2953878110223008,0.17054499247721722,5.7,A,1,0.12484281854508356,0.12484281854508356,0.17543859649122806,0.11994921453107271,0.6837105228271145,True,4.7,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,5.00 to 7.99
2023-24,2023-10-28,Chelsea,Brentford,A,0.2826833391239201,0.17311054983485527,5.6,A,1,0.1095727892890648,0.1095727892890648,0.17857142857142858,0.1041119105524915,0.5830266990939523,True,4.6,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,5.00 to 7.99
2021-22,2021-09-18,Wolves,Brentford,A,0.3688560494619245,0.1813897680242062,5.38,A,1,0.18746628143771832,0.18746628143771832,0.1858736059479554,0.1829824435139691,0.9844455461051538,True,4.38,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,5.00 to 7.99
2024-25,2025-05-10,Fulham,Everton,A,0.3314248552423252,0.1957600799851355,4.94,A,1,0.13566477525718967,0.13566477525718967,0.20242914979757085,0.12899570544475433,0.6372387848970864,True,3.9400000000000004,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,3.00 to 4.99
2021-22,2021-12-04,West Ham,Chelsea,H,0.3366063049850156,0.1985517714937978,4.92,H,1,0.1380545334912178,0.1380545334912178,0.2032520325203252,0.1333542724646904,0.6561030205262768,True,3.92,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
2024-25,2025-05-25,Man United,Aston Villa,H,0.4123592089455571,0.20112539928662615,4.82,H,1,0.21123380965893096,0.21123380965893096,0.20746887966804978,0.20489032927750733,0.9875713871175853,True,3.8200000000000003,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,3.00 to 4.99
2021-22,2022-02-23,Burnley,Tottenham,H,0.3780089944577121,0.20710996682675648,4.71,H,1,0.1708990276309556,0.1708990276309556,0.21231422505307856,0.1656947694046335,0.7804223638958239,True,3.71,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
