Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn
2024-25,2024-12-14,Newcastle,Leicester,H,0.173294879204292,0.10136505085054899,9.49,A,0,0.07192982835374302,0.07192982835374302,0.1053740779768177,0.0679208012274743,0.6445684036487311,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-21,Crystal Palace,Arsenal,A,0.177671247565877,0.12784058683404542,7.6,H,0,0.049830660731831566,0.049830660731831566,0.13157894736842105,0.04609230019745594,0.3503014815006651,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-22,Leicester,Wolves,A,0.4599081975351116,0.31902953411452345,3.05,H,0,0.14087866342058813,0.14087866342058813,0.3278688524590164,0.13203934507609516,0.4027200024820903,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-22,Tottenham,Liverpool,A,0.2725929863124602,0.19815242494226326,4.9,H,0,0.07444056137019694,0.07444056137019694,0.2040816326530612,0.068511353659399,0.33570563293105504,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-26,Nott'm Forest,Tottenham,H,0.4408692528869639,0.3019169329073482,3.22,A,0,0.13895231997961566,0.13895231997961566,0.3105590062111801,0.13031024667578378,0.4195989942960239,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-27,Brighton,Brentford,D,0.2741615175963099,0.1924562686892799,5.05,A,0,0.08170524890703001,0.08170524890703001,0.19801980198019803,0.07614171561611188,0.38451566386136493,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-29,Leicester,Man City,A,0.1508720959250994,0.09374320932580177,10.25,H,0,0.05712888659929763,0.05712888659929763,0.0975609756097561,0.0533111203153433,0.5464389832322689,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-30,Aston Villa,Brighton,D,0.3185055669504859,0.22844134891342444,4.25,A,0,0.09006421803706144,0.09006421803706144,0.23529411764705882,0.08321144930342705,0.3536486595395649,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-30,Ipswich,Chelsea,H,0.2296073440825248,0.12783177117559577,7.55,H,1,0.10177557290692904,0.10177557290692904,0.13245033112582782,0.09715701295669699,0.7335354478230622,True,6.55,True,6,Expected return >= 30%,0.3
2024-25,2025-01-04,Tottenham,Newcastle,A,0.4751743467562711,0.2493561964053928,3.9,H,0,0.22581815035087832,0.22581815035087832,0.25641025641025644,0.21876409034601468,0.8531799523494574,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-06,Wolves,Nott'm Forest,A,0.3371708796632616,0.24226019631676246,4.01,H,0,0.09491068334649913,0.09491068334649913,0.24937655860349128,0.08779432105977031,0.3520552274496789,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-14,Brentford,Man City,D,0.2566445469237928,0.1863602881730476,5.18,H,0,0.0702842587507452,0.0702842587507452,0.19305019305019305,0.06359435387359974,0.3294187530652466,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-14,West Ham,Fulham,H,0.4170032420479498,0.30244959173471087,3.22,H,1,0.11455365031323894,0.11455365031323894,0.3105590062111801,0.10644423583676971,0.34275043939439853,True,2.22,True,6,Expected return >= 30%,0.3
2024-25,2025-01-15,Everton,Aston Villa,A,0.3840974590834772,0.27436170014360584,3.55,H,0,0.10973575893987136,0.10973575893987136,0.28169014084507044,0.10240731823840676,0.36354597974634406,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-15,Leicester,Crystal Palace,A,0.3325214660643478,0.2388229675618089,4.07,H,0,0.09369849850253889,0.09369849850253889,0.24570024570024568,0.08682122036410211,0.3533623668818957,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-16,Ipswich,Brighton,A,0.3503626154386521,0.24687294272547727,3.94,H,0,0.10348967271317483,0.10348967271317483,0.25380710659898476,0.09655550883966735,0.3804287048282893,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-18,Leicester,Fulham,A,0.3622231776728645,0.20850823254781928,4.65,H,0,0.15371494512504522,0.15371494512504522,0.2150537634408602,0.1471694142320043,0.6843377761788201,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-19,Ipswich,Man City,A,0.2129864688143601,0.11428788108600031,8.5,H,0,0.09869858772835978,0.09869858772835978,0.11764705882352941,0.09533940999083068,0.8103849849220608,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2025-01-25,Man City,Chelsea,H,0.6264708750008473,0.407665351478759,2.39,H,1,0.21880552352208832,0.21880552352208832,0.41841004184100417,0.20806083315984314,0.49726539125202507,True,1.3900000000000001,True,6,Expected return >= 30%,0.3
2024-25,2025-02-02,Man United,Crystal Palace,A,0.2777245518082861,0.19513815207455892,4.97,A,1,0.08258639973372717,0.08258639973372717,0.2012072434607646,0.07651730834752149,0.38029102248718183,True,3.9699999999999998,True,6,Expected return >= 30%,0.3
2024-25,2025-02-12,Everton,Liverpool,D,0.1794619962335882,0.12274154644336228,7.9,H,0,0.056720449790225905,0.056720449790225905,0.12658227848101264,0.05287971775257555,0.41774977024534676,True,-1.0,True,6,Expected return >= 30%,0.3
