Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder
2020-21,2020-10-24,Liverpool,Sheffield United,H,0.9072584302591342,0.7975783672743791,1.22,H,1,0.10968006298475508,0.10968006298475508,0.819672131147541,0.08758629911159321,0.10685528491614371,True,0.21999999999999997,1.25,1.22,0.7787323188852983,0.7975783672743791,0.13407303782391766,0.10685528491614371,0
2020-21,2020-10-24,Man United,Chelsea,D,0.3822966502406393,0.3516751744697894,2.79,A,0,0.030621475770849893,0.030621475770849893,0.35842293906810035,0.023873711172538947,0.06660765417138359,True,-1.0,2.97,2.79,0.3304754337663297,0.3516751744697894,0.13542105121469872,0.06660765417138359,2
2020-21,2020-10-24,West Ham,Man City,D,0.2229705677512978,0.1395562192900334,6.97,H,0,0.08341434846126441,0.08341434846126441,0.14347202295552366,0.07949854479577415,0.5541048572265457,True,-1.0,7.51,6.97,0.12977383555313382,0.1395562192900334,0.6745089638122466,0.5541048572265457,0
2020-21,2020-10-25,Arsenal,Leicester,A,0.2705829087400907,0.2351244282425931,4.17,A,1,0.03545848049749761,0.03545848049749761,0.23980815347721823,0.03077475526287249,0.12833072944617818,True,3.17,4.06,4.17,0.24142322848008588,0.2351244282425931,0.09856660948476814,0.12833072944617818,2
2020-21,2020-10-25,Southampton,Everton,H,0.4688321971232281,0.40659764454596686,2.41,A,0,0.06223455257726124,0.06223455257726124,0.41493775933609955,0.053894437787128546,0.12988559506697972,True,-1.0,2.58,2.41,0.3803552456342496,0.40659764454596686,0.20958706857792864,0.12988559506697972,2
2020-21,2020-10-25,Wolves,Newcastle,D,0.2206458865029561,0.19543297215008507,5.01,A,0,0.02521291435287104,0.02521291435287104,0.1996007984031936,0.021045088099762493,0.10543589137981013,True,-1.0,5.48,5.01,0.17895762841667015,0.19543297215008507,0.2091394580361996,0.10543589137981013,2
2020-21,2020-10-26,Brighton,West Brom,D,0.2488837197791246,0.2276690373012088,4.3,D,1,0.021214682477915803,0.021214682477915803,0.23255813953488372,0.016325580244240884,0.07019999505023566,True,3.3,4.08,4.3,0.24037190700026428,0.2276690373012088,0.0154455766988284,0.07019999505023566,1
2020-21,2020-10-26,Burnley,Tottenham,A,0.6189514808133894,0.6049263960698764,1.61,A,1,0.014025084743512939,0.014025084743512939,0.6211180124223602,-0.0021665316089708453,-0.0034881158904430665,False,0.6100000000000001,1.66,1.61,0.5900230559631104,0.6049263960698764,0.027459458150226324,-0.0034881158904430665,2
2020-21,2020-10-30,Wolves,Crystal Palace,H,0.5403714367740127,0.4621844179452742,2.12,H,1,0.07818701882873846,0.07818701882873846,0.4716981132075471,0.06867332356646555,0.145587445960907,True,1.12,2.07,2.12,0.47298150654036997,0.4621844179452742,0.11856887412220618,0.145587445960907,0
2020-21,2020-10-31,Burnley,Chelsea,A,0.3103267411229878,0.1744446246148857,5.59,H,0,0.1358821165081021,0.1358821165081021,0.17889087656529518,0.13143586455769263,0.7347264828775018,True,-1.0,6.32,5.59,0.15406142300528206,0.1744446246148857,0.961265003897283,0.7347264828775018,0
2020-21,2020-10-31,Liverpool,West Ham,H,0.8155882269351543,0.6781890927441157,1.44,H,1,0.13739913419103866,0.13739913419103866,0.6944444444444444,0.1211437824907099,0.17444704678662215,True,0.43999999999999995,1.4,1.44,0.6956501915010032,0.6781890927441157,0.14182351770921597,0.17444704678662215,0
2020-21,2020-10-31,Sheffield United,Man City,A,0.2348184032955592,0.09193100366026827,10.63,H,0,0.14288739963529093,0.14288739963529093,0.09407337723424271,0.1407450260613165,1.4961196270317942,True,-1.0,9.8,10.63,0.09973443231576797,0.09193100366026827,1.3012203522964803,1.4961196270317942,0
2020-21,2020-11-01,Aston Villa,Southampton,A,0.2874598466556868,0.2756757974240678,3.56,D,0,0.01178404923161902,0.01178404923161902,0.2808988764044944,0.0065609702511923995,0.023357054094244933,True,-1.0,3.72,3.56,0.26356022999840584,0.2756757974240678,0.06935062955915505,0.023357054094244933,1
2020-21,2020-11-01,Man United,Arsenal,A,0.5249033736287986,0.4849094298076826,2.02,H,0,0.039993943821115985,0.039993943821115985,0.49504950495049505,0.02985386867830353,0.06030481473017324,True,-1.0,2.05,2.02,0.4780284049106795,0.4849094298076826,0.07605191593903693,0.06030481473017324,0
2020-21,2020-11-01,Newcastle,Everton,H,0.4985967025458978,0.42071515921602043,2.33,A,0,0.07788154332987735,0.07788154332987735,0.4291845493562232,0.06941215318967459,0.16173031693194195,True,-1.0,2.09,2.33,0.46855985170586495,0.42071515921602043,0.042067108320926305,0.16173031693194195,2
2020-21,2020-11-01,Tottenham,Brighton,H,0.6366373609900707,0.6066873259136893,1.61,H,1,0.029950035076381387,0.029950035076381387,0.6211180124223602,0.015519348567710534,0.024986151194013928,True,0.6100000000000001,1.65,1.61,0.5934162090398889,0.6066873259136893,0.05045164563361659,0.024986151194013928,0
2020-21,2020-11-02,Fulham,West Brom,H,0.4373712789782185,0.39613100136148055,2.48,H,1,0.04124027761673793,0.04124027761673793,0.40322580645161293,0.03414547252660555,0.08468077186598189,True,1.48,2.47,2.48,0.39751821927376907,0.39613100136148055,0.08030705907619984,0.08468077186598189,0
2020-21,2020-11-02,Leeds,Leicester,A,0.3611717859105442,0.330271517015336,2.97,A,1,0.030900268895208194,0.030900268895208194,0.33670033670033667,0.024471449210207552,0.07268020415431642,True,1.9700000000000002,2.79,2.97,0.35191396376442036,0.330271517015336,0.007669282690418333,0.07268020415431642,2
2020-21,2020-11-06,Brighton,Burnley,D,0.2375766183627077,0.22039293659711856,4.45,A,0,0.017183681765589126,0.017183681765589126,0.2247191011235955,0.012857517239112187,0.05721595171404914,True,-1.0,4.63,4.45,0.21195187960514994,0.22039293659711856,0.09997974301933654,0.05721595171404914,2
2020-21,2020-11-06,Southampton,Newcastle,H,0.5098210809176229,0.44507365314602365,2.2,H,1,0.06474742777159925,0.06474742777159925,0.45454545454545453,0.055275626372168374,0.12160637801877039,True,1.2000000000000002,2.08,2.2,0.47126373776961655,0.44507365314602365,0.060427848308655774,0.12160637801877039,0
2020-21,2020-11-07,Chelsea,Sheffield United,H,0.7009571610744431,0.6997166344022668,1.39,H,1,0.0012405266721762231,0.0012405266721762231,0.7194244604316548,-0.018467299357211697,-0.025669546106524166,False,0.3899999999999999,1.41,1.39,0.6920751868542359,0.6997166344022668,-0.011650402885035382,-0.025669546106524166,0
2020-21,2020-11-07,Crystal Palace,Leeds,H,0.3901237229700728,0.3392913936772469,2.89,H,1,0.050832329292825884,0.050832329292825884,0.3460207612456747,0.04410296172439809,0.12745755938351055,True,1.8900000000000001,2.99,2.89,0.32833138646778687,0.3392913936772469,0.16646993168051782,0.12745755938351055,0
2020-21,2020-11-07,Everton,Man United,A,0.4977025322774154,0.29427648305464615,3.33,H,0,0.20342604922276925,0.20342604922276925,0.3003003003003003,0.1974022319771151,0.6573494324837934,True,-1.0,2.98,3.33,0.3291910313370937,0.29427648305464615,0.4831535461866978,0.6573494324837934,0
2020-21,2020-11-07,West Ham,Fulham,H,0.5636994946613922,0.5152081649151172,1.9,H,1,0.048491329746275014,0.048491329746275014,0.5263157894736842,0.03738370518770806,0.0710290398566451,True,0.8999999999999999,1.85,1.9,0.5287951703954055,0.5152081649151172,0.04284406512357575,0.0710290398566451,0
2020-21,2020-11-08,Arsenal,Aston Villa,A,0.2253250669179504,0.19752252486308416,4.95,A,1,0.027802542054866236,0.027802542054866236,0.20202020202020202,0.023304864897748384,0.11535908124385452,True,3.95,5.27,4.95,0.18579630215632206,0.19752252486308416,0.18746310265759858,0.11535908124385452,2
2020-21,2020-11-08,Leicester,Wolves,H,0.5784091903923438,0.39737837665909537,2.47,H,1,0.18103081373324847,0.18103081373324847,0.4048582995951417,0.17355089079720215,0.4286707002690895,True,1.4700000000000002,2.47,2.47,0.39737837665909537,0.39737837665909537,0.4286707002690895,0.4286707002690895,0
2020-21,2020-11-08,Man City,Liverpool,D,0.3134894665602781,0.26008232821900457,3.78,A,0,0.05340713834127353,0.05340713834127353,0.2645502645502646,0.048939202010013505,0.18499018359785113,True,-1.0,3.56,3.78,0.2756629036492518,0.26008232821900457,0.1160225009545901,0.18499018359785113,2
2020-21,2020-11-08,West Brom,Tottenham,A,0.1762795931188221,0.1418965330248364,6.88,H,0,0.0343830600939857,0.0343830600939857,0.14534883720930233,0.03093075590951977,0.21280360065749604,True,-1.0,6.58,6.88,0.14811788913096105,0.1418965330248364,0.1599197227218494,0.21280360065749604,0
2020-21,2020-11-21,Aston Villa,Brighton,A,0.4608509621126839,0.4076655052264809,2.4,H,0,0.05318545688620302,0.05318545688620302,0.4166666666666667,0.04418429544601721,0.10604230907044121,True,-1.0,2.24,2.4,0.4366863905325444,0.4076655052264809,0.03230615513241197,0.10604230907044121,0
2020-21,2020-11-21,Man United,West Brom,H,0.7384821064646164,0.7316596580595521,1.33,H,1,0.006822448405064296,0.006822448405064296,0.7518796992481203,-0.013397592783503831,-0.017818798402060132,False,0.33000000000000007,1.34,1.33,0.7260921985068811,0.7316596580595521,-0.010433977337413913,-0.017818798402060132,0
2020-21,2020-11-21,Newcastle,Chelsea,A,0.2260604722541143,0.13325598066676025,7.33,H,0,0.09280449158735404,0.09280449158735404,0.1364256480218281,0.08963482423228619,0.6570232616226579,True,-1.0,6.74,7.33,0.1450063530297951,0.13325598066676025,0.5236475829927305,0.6570232616226579,0
2020-21,2020-11-21,Tottenham,Man City,H,0.549992848327716,0.22742426006010846,4.3,H,1,0.32256858826760754,0.32256858826760754,0.23255813953488372,0.3174347087928323,1.3649692478091788,True,3.3,4.24,4.3,0.23058496391749478,0.22742426006010846,1.331969676909516,1.3649692478091788,0
2020-21,2020-11-22,Fulham,Everton,A,0.5357768315549304,0.5190257410787338,1.88,A,1,0.016751090476196606,0.016751090476196606,0.5319148936170213,0.003861937937909121,0.007260443323269028,True,0.8799999999999999,1.93,1.88,0.5062344139650873,0.5190257410787338,0.034049284901015664,0.007260443323269028,2
2020-21,2020-11-22,Leeds,Arsenal,D,0.4050358027026949,0.27336053270747485,3.58,H,0,0.13167526999522006,0.13167526999522006,0.27932960893854747,0.12570619376414743,0.45002817367564774,True,-1.0,3.18,3.58,0.30850311716691303,0.27336053270747485,0.2880138525945699,0.45002817367564774,0
2020-21,2020-11-22,Liverpool,Leicester,H,0.8053024715034127,0.5367560134140752,1.82,H,1,0.2685464580893375,0.2685464580893375,0.5494505494505494,0.25585192205286333,0.4656504981362113,True,0.8200000000000001,1.88,1.82,0.5127238454288406,0.5367560134140752,0.5139686464264159,0.4656504981362113,0
2020-21,2020-11-22,Sheffield United,West Ham,A,0.4052376782846227,0.31667611873831975,3.09,H,0,0.08856155954630296,0.08856155954630296,0.3236245954692557,0.081613082815367,0.2521844258994841,True,-1.0,3.2,3.09,0.30674662668665664,0.31667611873831975,0.29676057051079274,0.2521844258994841,0
2020-21,2020-11-23,Burnley,Crystal Palace,H,0.4612662024410741,0.3651678491354157,2.68,H,1,0.09609835330565836,0.09609835330565836,0.3731343283582089,0.08813187408286516,0.23619342254207853,True,1.6800000000000002,2.89,2.68,0.339622641509434,0.3651678491354157,0.33305932505470426,0.23619342254207853,0
