Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn
2022-23,2023-04-22,Brentford,Aston Villa,D,0.4253580241405154,0.359977997715735,2.72,H,0,0.06538002642478036,0.06538002642478036,0.3676470588235294,0.057710965316985996,0.15697382566220197,True,-1.0
2022-23,2023-04-22,Crystal Palace,Everton,D,0.2589196185626607,0.21832758218094078,4.48,A,0,0.04059203638171993,0.04059203638171993,0.2232142857142857,0.035705332848375015,0.15995989116072007,True,-1.0
2022-23,2023-04-22,Crystal Palace,Everton,D,0.2476302921567108,0.28767869652076905,3.4,D,1,-0.04004840436405824,0.04004840436405824,0.29411764705882354,-0.046487354902112726,-0.15805700666718325,False,2.4
2022-23,2023-04-22,Crystal Palace,Everton,D,0.4934500892806284,0.49399372129829033,1.98,H,0,-0.0005436320176619436,0.0005436320176619436,0.5050505050505051,-0.011600415769876693,-0.022968823224355783,False,-1.0
2022-23,2023-04-22,Fulham,Leeds,H,0.2237194728140287,0.3129955706753873,3.11,A,0,-0.0892760978613586,0.0892760978613586,0.3215434083601286,-0.09782393554609992,-0.30423243954837076,False,-1.0
2022-23,2023-04-22,Fulham,Leeds,H,0.2630211514821247,0.27971730597714206,3.48,D,0,-0.01669615449501738,0.01669615449501738,0.28735632183908044,-0.02433517035695576,-0.08468639284220614,False,-1.0
2022-23,2023-04-22,Fulham,Leeds,H,0.5132593757038464,0.40728712334747047,2.39,H,1,0.10597225235637592,0.10597225235637592,0.41841004184100417,0.09484933386284222,0.2266899079321929,True,1.3900000000000001
2022-23,2023-04-22,Leicester,Wolves,H,0.3405287700412928,0.31268181903492803,3.13,A,0,0.02784695100636475,0.02784695100636475,0.3194888178913738,0.021039952149918995,0.06585505022924631,True,-1.0
2022-23,2023-04-22,Leicester,Wolves,H,0.2692695853255386,0.28785120399391906,3.4,D,0,-0.018581618668380484,0.018581618668380484,0.29411764705882354,-0.024848061733284965,-0.08448340989316883,False,-1.0
2022-23,2023-04-22,Leicester,Wolves,H,0.3902016446331686,0.3994669769711529,2.45,H,1,-0.009265332337984322,0.009265332337984322,0.4081632653061224,-0.017961620672953815,-0.0440059706487369,False,1.4500000000000002
2022-23,2023-04-22,Liverpool,Nott'm Forest,H,0.0522194750212544,0.05867256637168142,16.5,A,0,-0.006453091350427015,0.006453091350427015,0.06060606060606061,-0.008386585584806205,-0.1383786621493024,False,-1.0
2022-23,2023-04-22,Liverpool,Nott'm Forest,H,0.1230508664217441,0.1138938053097345,8.5,D,0,0.009157061112009604,0.009157061112009604,0.11764705882352941,0.005403807598214697,0.04593236458482486,True,-1.0
2022-23,2023-04-22,Liverpool,Nott'm Forest,H,0.8247296585570013,0.8274336283185841,1.17,H,1,-0.002703969761582825,0.002703969761582825,0.8547008547008548,-0.029971196143853462,-0.03506629948830853,False,0.16999999999999993
2022-23,2023-04-23,Bournemouth,West Ham,A,0.4570357198838034,0.3838687285927241,2.55,A,1,0.07316699129107934,0.07316699129107934,0.3921568627450981,0.06487885713870534,0.16544108570369875,True,1.5499999999999998
2022-23,2023-04-23,Bournemouth,West Ham,A,0.2448221424523309,0.29307343051240914,3.34,D,0,-0.04825128806007825,0.04825128806007825,0.29940119760479045,-0.05457905515245956,-0.1822940442092149,False,-1.0
2022-23,2023-04-23,Bournemouth,West Ham,A,0.2981421376638656,0.3230578408948668,3.03,H,0,-0.024915703231001174,0.024915703231001174,0.33003300330033003,-0.03189086563646443,-0.09662932287848724,False,-1.0
2022-23,2023-04-23,Newcastle,Tottenham,H,0.2287123550634831,0.23778668670638056,4.11,A,0,-0.009074331642897449,0.009074331642897449,0.24330900243309,-0.014596647369606891,-0.059992220689084275,False,-1.0
2022-23,2023-04-23,Newcastle,Tottenham,H,0.2382771183811305,0.25583855559246704,3.82,D,0,-0.017561437211336545,0.017561437211336545,0.2617801047120419,-0.023502986330911385,-0.0897814077840815,False,-1.0
2022-23,2023-04-23,Newcastle,Tottenham,H,0.5330105265553864,0.5063747577011525,1.93,H,1,0.02663576885423391,0.02663576885423391,0.5181347150259068,0.014875811529479588,0.028710316251895796,True,0.9299999999999999
2022-23,2023-04-25,Aston Villa,Fulham,H,0.2159774701057264,0.19536255378592554,4.99,A,0,0.020614916319800863,0.020614916319800863,0.2004008016032064,0.015576668502520014,0.07772757582757484,True,-1.0
2022-23,2023-04-25,Aston Villa,Fulham,H,0.2470045087984814,0.2538695685916064,3.84,D,0,-0.006865059793125017,0.006865059793125017,0.2604166666666667,-0.013412157868185282,-0.05150268621383147,False,-1.0
2022-23,2023-04-25,Aston Villa,Fulham,H,0.5370180210957922,0.5507678776224681,1.77,H,1,-0.01374985652667593,0.01374985652667593,0.5649717514124294,-0.02795373031663717,-0.04947810266044772,False,0.77
2022-23,2023-04-25,Leeds,Leicester,D,0.340428600286032,0.32395769808570446,3.02,A,0,0.016470902200327542,0.016470902200327542,0.33112582781456956,0.00930277247146244,0.028094372863816552,True,-1.0
