Season,Date,FixturesOnDate,ModelMeanLogLoss,MarketMeanLogLoss,MeanLossDifference
2021-22,2022-03-01,1,1.10915830604391,0.9880856207529516,0.12107268529095849
2021-22,2022-03-05,7,0.7156469061026272,0.8032136463616106,-0.0875667402589835
2021-22,2022-03-06,2,0.5104371260716769,0.4230728465414054,0.08736427953027145
2021-22,2022-03-07,1,0.5130057139356115,0.5947821624042573,-0.08177644846864585
2021-22,2022-03-10,4,0.6609997248242185,0.8721081836960654,-0.21110845887184682
2021-22,2022-03-12,3,0.6777455645351328,0.7034084426075277,-0.02566287807239485
2021-22,2022-03-13,6,0.8078101047254131,0.882365919843667,-0.0745558151182538
2021-22,2022-03-14,1,1.5573315316277585,1.74553339065199,-0.1882018590242316
2021-22,2022-03-16,2,0.8223285513640177,0.7665389663402322,0.055789585023785504
2021-22,2022-03-17,1,1.0520247431500742,0.9013203424018017,0.15070440074827252
2021-22,2022-03-18,1,1.780370357643847,1.2646664294264378,0.5157039282174092
2021-22,2022-03-19,1,0.7967897070454376,0.9582386925410399,-0.16144898549560227
2021-22,2022-03-20,2,0.6179771774190773,0.6758302449257407,-0.05785306750666347
2021-22,2022-04-02,7,1.2412739263852417,1.1789166794546782,0.06235724693056367
2021-22,2022-04-03,2,0.5275926770115968,0.5388378885689924,-0.011245211557395496
2021-22,2022-04-04,1,0.8617592877686753,1.445420658190246,-0.5836613704215707
2021-22,2022-04-06,1,0.8966453804488427,0.9736394817881844,-0.0769941013393417
2021-22,2022-04-08,1,1.201988230211648,0.7099735975457331,0.49201463266591494
2021-22,2022-04-09,5,1.0708709598599129,1.1663149732478417,-0.09544401338792892
2021-22,2022-04-10,4,1.1541819065430077,1.1369630928758883,0.01721881366711958
2021-22,2022-04-16,4,1.0838261822898048,1.1619730731262565,-0.07814689083645178
2021-22,2022-04-17,2,1.423925099956822,1.0511049259044292,0.3728201740523929
2021-22,2022-04-19,1,0.30348187601952553,0.32060602455563825,-0.017124148536112715
2021-22,2022-04-20,4,1.2904445771854625,0.9533694788485721,0.3370750983368903
2021-22,2022-04-21,1,0.8616446804253477,1.0189396854422719,-0.15729500501692417
2021-22,2022-04-23,5,0.8529667074982366,0.8764068395857798,-0.02344013208754339
2021-22,2022-04-24,4,0.6563551731671542,0.6999360670898473,-0.043580893922693195
2021-22,2022-04-25,1,1.35911468599519,1.2802536000142544,0.07886108598093555
2021-22,2022-04-28,1,1.545529832616479,1.3097064897838702,0.23582334283260886
2021-22,2022-04-30,6,0.7196656259995039,0.7588781466195141,-0.03921252062001023
2021-22,2022-05-01,3,1.1726708958827357,0.8811623849328911,0.29150851094984453
2021-22,2022-05-02,1,0.5342244783466981,0.612021635747577,-0.07779715740087889
2021-22,2022-05-07,6,1.1803736946070227,1.117334496615067,0.06303919799195579
2021-22,2022-05-08,4,0.6779256391320726,0.5682636379407138,0.10966200119135874
2021-22,2022-05-10,1,0.5216087392373295,0.45460794376776203,0.0670007954695675
2021-22,2022-05-11,4,0.7053896575614003,0.6248145829634398,0.08057507459796037
2021-22,2022-05-12,1,0.7684402751913701,0.8646759413135372,-0.09623566612216705
2021-22,2022-05-15,7,1.2228214299480153,1.1637477706487833,0.05907365929923199
2021-22,2022-05-16,1,1.3673685327452034,1.5042320490600551,-0.13686351631485172
2021-22,2022-05-17,1,0.365597984625942,0.39605616011550504,-0.030458175489563033
2021-22,2022-05-19,3,1.4155572316547145,1.1819497990017427,0.23360743265297176
2021-22,2022-05-22,10,0.6286039549880864,0.6080695034247046,0.020534451563381816
2022-23,2022-08-05,1,0.7725851758335925,0.6566837390622772,0.11590143677131537
2022-23,2022-08-06,6,0.9830973910571621,0.9241993841239456,0.05889800693321662
2022-23,2022-08-07,3,1.0720515504965407,1.0864313501179885,-0.014379799621447956
2022-23,2022-08-13,7,1.01812460136901,0.937100058151915,0.08102454321709497
2022-23,2022-08-14,2,1.1868526438761544,1.349055906343894,-0.16220326246773975
2022-23,2022-08-15,1,1.9564100824166992,1.8509390590403685,0.10547102337633074
2022-23,2022-08-20,6,1.0122439225667048,0.9379507865690999,0.074293135997605
2022-23,2022-08-21,3,1.3620878197184385,1.5190571669374073,-0.15696934721896927
2022-23,2022-08-22,1,1.575375762315891,1.5620585173676864,0.013317244948204632
2022-23,2022-08-27,7,0.6250484968798024,0.528267839035905,0.09678065784389729
2022-23,2022-08-28,3,1.007959472055205,0.9856751613695421,0.022284310685662723
2022-23,2022-08-30,4,1.3937589345104064,1.3751143849976737,0.018644549512732755
2022-23,2022-08-31,5,0.7717911338811516,0.673743200864453,0.09804793301669852
2022-23,2022-09-01,1,0.7942581757286069,0.833573795608295,-0.039315619879688124
2022-23,2022-09-03,8,1.3501272039030887,1.084685465104078,0.2654417387990106
2022-23,2022-09-04,2,0.9124893696763376,0.8524085222058583,0.060080847470479315
2022-23,2022-09-16,2,1.067483922726181,0.8874599192386277,0.18002400348755332
2022-23,2022-09-17,3,0.8045561615613953,0.8099746699447993,-0.005418508383403853
2022-23,2022-09-18,2,0.8164311370896548,0.870554739660284,-0.05412360257062915
2022-23,2022-10-01,7,1.0095794053203626,1.0162871507518834,-0.006707745431520576
2022-23,2022-10-02,2,0.7816936510144713,0.8278032632046374,-0.046109612190166
2022-23,2022-10-03,1,0.5907194884811505,0.5797505157705444,0.01096897271060615
2022-23,2022-10-08,5,0.6268295565257807,0.7012946708472324,-0.07446511432145173
2022-23,2022-10-09,4,0.9389269880246047,0.7514189311599889,0.18750805686461575
2022-23,2022-10-10,1,1.3485066303415727,1.3226955614695433,0.02581106887202944
2022-23,2022-10-14,1,1.1683263258084353,1.231037067799046,-0.06271074199061077
2022-23,2022-10-15,4,0.9294071205828625,0.9082683548723693,0.021138765710493085
2022-23,2022-10-16,5,1.064410548446936,1.0457991881662203,0.018611360280715618
2022-23,2022-10-18,2,0.9510959149587419,1.212889481660103,-0.26179356670136117
2022-23,2022-10-19,5,0.8197318140461682,0.8478576746651514,-0.028125860618983256
2022-23,2022-10-20,2,0.8400607003636384,1.0092525011017575,-0.16919180073811896
2022-23,2022-10-22,4,1.187285567078662,1.19070280246887,-0.0034172353902081898
2022-23,2022-10-23,5,1.2619192170515343,1.210463666887018,0.05145555016451666
2022-23,2022-10-24,1,0.8097879505629357,0.507880113536234,0.30190783702670176
2022-23,2022-10-29,8,1.0761902518738515,1.0708940281253487,0.005296223748502742
2022-23,2022-10-30,2,0.4317348861476714,0.40154065268696804,0.030194233460703365
2022-23,2022-11-05,5,0.8142706602104486,0.7698929957949278,0.04437766441552082
2022-23,2022-11-06,5,1.0264766688843643,1.0257755593254987,0.0007011095588656202
2022-23,2022-11-12,8,1.0093368169891308,1.1001468864921098,-0.09081006950297904
2022-23,2022-11-13,2,1.1473666895869679,1.1474588935858587,-9.220399889081632e-05
2022-23,2022-12-26,7,0.9131605535988588,0.9021642058037044,0.010996347795154555
2022-23,2022-12-27,2,0.47102127432105156,0.33621039846291095,0.13481087585814058
2022-23,2022-12-28,1,0.3773120770052966,0.2936497763889651,0.08366230061633151
2022-23,2022-12-30,2,0.6556036318915782,0.7721498516131633,-0.1165462197215851
2022-23,2022-12-31,6,1.1484101569470477,1.1482675476915432,0.00014260925550439266
2022-23,2023-01-01,2,1.6660639476781525,1.5568859968417659,0.1091779508363867
2022-23,2023-01-02,1,1.4921459201526655,1.855341835867292,-0.3631959157146265
2022-23,2023-01-03,4,0.9760603530090809,0.9281248403061764,0.047935512702904526
2022-23,2023-01-04,4,1.1661456471416567,1.149863901296007,0.016281745845649565
2022-23,2023-01-05,1,0.5543970314894985,0.5338895819662549,0.02050744952324357
2022-23,2023-01-12,1,1.3411999616844283,1.4266294216912292,-0.08542946000680085
2022-23,2023-01-13,1,0.7464284908757086,0.7357762984656129,0.01065219241009574
2022-23,2023-01-14,6,1.0914967689784236,1.0418428010725027,0.049653967905921026
2022-23,2023-01-15,3,0.6209123542764151,0.6299404583379417,-0.009028104061526487
2022-23,2023-01-18,1,1.468061553121545,1.4056590267467384,0.0624025263748067
2022-23,2023-01-19,1,0.2791492834172684,0.43724092538005266,-0.15809164196278425
2022-23,2023-01-21,6,1.173045837596568,1.1639406442082518,0.009105193388316243
2022-23,2023-01-22,3,0.6740976208386811,0.7394699219273112,-0.06537230108863017
2022-23,2023-01-23,1,0.7698705361015634,0.792193164856477,-0.02232262875491353
2022-23,2023-02-03,1,1.4244324638829358,1.454570667422911,-0.030138203539975317
2022-23,2023-02-04,7,1.0745263493356727,1.0825260027115229,-0.007999653375850171
2022-23,2023-02-05,2,1.1265903149011862,1.2421094521713825,-0.1155191372701963
2022-23,2023-02-08,1,1.5048397293456657,1.5288927144672662,-0.02405298512160048
2022-23,2023-02-11,7,1.2317584708053388,1.2035034449074884,0.028255025897850578
2022-23,2023-02-12,2,0.4569343093335502,0.5262908378522341,-0.06935652851868386
2022-23,2023-02-13,1,0.29757820557316866,0.5059035199520793,-0.2083253143789106
2022-23,2023-02-15,1,0.8615149614563336,0.841774751088305,0.019740210368028532
2022-23,2023-02-18,8,1.4502211416060582,1.4381564358413081,0.012064705764750036
2022-23,2023-02-19,2,0.47770638791521075,0.5695690063329196,-0.09186261841770885
2022-23,2023-02-24,1,1.3257350314158545,1.168890398043333,0.15684463337252152
2022-23,2023-02-25,6,0.8082600465568047,0.7806908823221953,0.027569164234609384
2022-23,2023-02-26,1,0.6888204607251931,1.134546616096676,-0.44572615537148286
2022-23,2023-03-01,2,0.28834030291781004,0.39165061955528013,-0.10331031663747008
2022-23,2023-03-04,7,0.7328548196365657,0.6934661665458374,0.03938865309072853
2022-23,2023-03-05,2,1.0417376896174395,1.0306976130613401,0.011040076556099232
2022-23,2023-03-06,1,0.6573125342385157,0.753840599459411,-0.0965280652208953
