StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
1,Flat stake,2024-02-12,110.58,1,0,1.0,0.009043226623259178,-1.0,109.58,1.0,False,112.00999999999999,2.4299999999999926,0.021694491563253218
1,Flat stake,2024-03-10,109.58,2,0,2.0,0.018251505749224312,-2.0,107.58,1.0,False,112.00999999999999,4.429999999999993,0.03955004017498431
1,Flat stake,2024-03-13,107.58,1,0,1.0,0.009295408068414203,-1.0,106.58,1.0,False,112.00999999999999,5.429999999999993,0.04847781448084986
1,Flat stake,2024-03-30,106.58,1,0,1.0,0.009382623381497467,-1.0,105.58,1.0,False,112.00999999999999,6.429999999999993,0.05740558878671541
1,Flat stake,2024-04-02,105.58,1,0,1.0,0.009471490812653912,-1.0,104.58,1.0,False,112.00999999999999,7.429999999999993,0.06633336309258096
1,Flat stake,2024-04-06,104.58,2,2,2.0,0.019124115509657678,4.65,109.23,1.0,False,112.00999999999999,2.779999999999987,0.024819212570306108
1,Flat stake,2024-04-07,109.23,1,0,1.0,0.009154994049253868,-1.0,108.23,1.0,False,112.00999999999999,3.779999999999987,0.033746986876171656
1,Flat stake,2024-04-20,108.23,1,0,1.0,0.009239582370876836,-1.0,107.23,1.0,False,112.00999999999999,4.779999999999987,0.0426747611820372
1,Flat stake,2024-04-27,107.23,1,0,1.0,0.009325748391308402,-1.0,106.23,1.0,False,112.00999999999999,5.779999999999987,0.05160253548790275
1,Flat stake,2024-04-28,106.23,1,0,1.0,0.009413536665725312,-1.0,105.23,1.0,False,112.00999999999999,6.779999999999987,0.0605303097937683
1,Flat stake,2024-05-04,105.23,1,0,1.0,0.009502993442934524,-1.0,104.23,1.0,False,112.00999999999999,7.779999999999987,0.06945808409963385
1,Flat stake,2024-05-06,104.23,1,0,1.0,0.009594166746618055,-1.0,103.23,1.0,False,112.00999999999999,8.779999999999987,0.0783858584054994
