Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-11-29,Chelsea,Tottenham,2020-21,D,1.6081116867260148,1.4655173544155702,Tuned Logistic Regression,0.1425943323104446
2020-21,2020-11-29,Southampton,Man United,2020-21,A,0.989515369553435,1.0978753323860775,Tuned Logistic Regression,-0.10835996283264249
2020-21,2020-11-30,Leicester,Fulham,2020-21,A,2.300067738885955,2.319293971436466,Tuned Logistic Regression,-0.019226232550511035
2020-21,2020-11-30,West Ham,Aston Villa,2020-21,H,0.5508977172742037,0.5386519334879996,Tuned Logistic Regression,0.012245783786204112
2020-21,2020-12-05,Burnley,Everton,2020-21,D,1.1436505154154606,1.3326329432545148,Tuned Logistic Regression,-0.18898242783905417
2020-21,2020-12-05,Chelsea,Leeds,2020-21,H,0.3075770790811364,0.3323233660593353,Tuned Logistic Regression,-0.024746286978198917
2020-21,2020-12-05,Man City,Fulham,2020-21,H,0.4042608203521114,0.25291539145423875,Tuned Logistic Regression,0.15134542889787267
2020-21,2020-12-05,West Ham,Man United,2020-21,A,0.8248728257470358,0.8248560142713601,Tuned Logistic Regression,1.6811475675670984e-05
2020-21,2020-12-06,Liverpool,Wolves,2020-21,H,0.22492638054396294,0.24099422998848874,Tuned Logistic Regression,-0.0160678494445258
2020-21,2020-12-06,Sheffield United,Leicester,2020-21,A,0.8881494801682591,1.0783970521633275,Tuned Logistic Regression,-0.19024757199506837
2020-21,2020-12-06,Tottenham,Arsenal,2020-21,H,0.4201692910397246,0.39470333223898324,Tuned Logistic Regression,0.025465958800741373
2020-21,2020-12-06,West Brom,Crystal Palace,2020-21,A,1.1237350735070868,1.07075514589123,Tuned Logistic Regression,0.05297992761585668
2020-21,2020-12-07,Brighton,Southampton,2020-21,A,1.0202121626994687,0.9576681710079367,Tuned Logistic Regression,0.06254399169153202
2020-21,2020-12-11,Leeds,West Ham,2020-21,A,1.2018372557844523,1.2690948346351212,Tuned Logistic Regression,-0.06725757885066885
2020-21,2020-12-12,Everton,Chelsea,2020-21,H,1.3816009770328983,1.5801715981586824,Tuned Logistic Regression,-0.19857062112578405
2020-21,2020-12-12,Man United,Man City,2020-21,D,1.195253281038102,1.3238826040589775,Tuned Logistic Regression,-0.12862932302087549
2020-21,2020-12-12,Newcastle,West Brom,2020-21,H,0.5002736343596147,0.5110555739373046,Tuned Logistic Regression,-0.010781939577689914
2020-21,2020-12-12,Wolves,Aston Villa,2020-21,A,1.5240627576878474,1.3834844861521267,Tuned Logistic Regression,0.14057827153572067
2020-21,2020-12-13,Arsenal,Burnley,2020-21,A,1.6404407533416518,1.6651426274879322,Tuned Logistic Regression,-0.024701874146280334
