Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-09-11,Southampton,West Ham,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-09-11,Watford,Wolves,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-12,Leeds,Liverpool,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.11662928548542133,0.2085869913489266,0.674783723165652
2021-22,2021-09-13,Everton,Burnley,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-09-17,Newcastle,Leeds,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-18,Aston Villa,Everton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.1377027474346243,0.23833167825223436,0.6239655743131413
2021-22,2021-09-18,Burnley,Arsenal,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.16080402010050254,0.20770519262981574,0.6314907872696818
2021-22,2021-09-18,Liverpool,Crystal Palace,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-09-18,Man City,Southampton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-09-18,Norwich,Watford,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-09-18,Wolves,Brentford,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-19,Brighton,Leicester,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-19,Tottenham,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-19,West Ham,Man United,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-09-25,Brentford,Liverpool,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.1223021582721216e-12,0.22302158273356262,0.776978417265315
2021-22,2021-09-25,Chelsea,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-25,Everton,Norwich,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-09-25,Leeds,West Ham,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.23097835379407036,0.2769038744314879,0.49211777177444177
2021-22,2021-09-25,Leicester,Burnley,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4830537101677739,0.1919828848102691,0.324963405021957
2021-22,2021-09-25,Man United,Aston Villa,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-09-25,Watford,Newcastle,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4135936370209689,0.2386117136659436,0.34779464931308746
2021-22,2021-09-26,Arsenal,Tottenham,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-09-26,Southampton,Wolves,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.29563684339128043,0.22437374746810018,0.47998940914061944
2021-22,2021-09-27,Crystal Palace,Brighton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.23097835379407036,0.2769038744314879,0.49211777177444177
2021-22,2021-10-02,Brighton,Arsenal,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-02,Burnley,Norwich,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-02,Chelsea,Southampton,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-10-02,Leeds,Watford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-02,Man United,Everton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-10-02,Wolves,Newcastle,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-03,Crystal Palace,Leicester,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-03,Liverpool,Man City,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,D,0.17678989203454765,0.48749540772300604,0.33571470024244626
2021-22,2021-10-03,Tottenham,Aston Villa,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4135936370209689,0.2386117136659436,0.34779464931308746
2021-22,2021-10-03,West Ham,Brentford,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-16,Aston Villa,Wolves,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-16,Brentford,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-10-16,Leicester,Man United,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.13676498215292127,0.20383242532406534,0.6594025925230134
2021-22,2021-10-16,Man City,Burnley,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-10-16,Norwich,Brighton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-10-16,Southampton,Leeds,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-16,Watford,Liverpool,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.1223021582721216e-12,0.22302158273356262,0.776978417265315
2021-22,2021-10-17,Everton,West Ham,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-17,Newcastle,Tottenham,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-10-18,Arsenal,Crystal Palace,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-22,Arsenal,Aston Villa,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-23,Brighton,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.11662928548542133,0.2085869913489266,0.674783723165652
2021-22,2021-10-23,Chelsea,Norwich,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6465375551932435,0.15787544952393157,0.19558699528282505
2021-22,2021-10-23,Crystal Palace,Newcastle,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-23,Everton,Watford,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-10-23,Leeds,Wolves,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.23097835379407036,0.2769038744314879,0.49211777177444177
2021-22,2021-10-23,Southampton,Burnley,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.43042038727801746,0.2317648239189325,0.3378147888030501
2021-22,2021-10-24,Brentford,Leicester,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-24,Man United,Liverpool,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.23097835379407036,0.2769038744314879,0.49211777177444177
2021-22,2021-10-24,West Ham,Tottenham,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.37356321839080464,0.21551724137931036,0.4109195402298851
2021-22,2021-10-30,Burnley,Brentford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
2021-22,2021-10-30,Leicester,Arsenal,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.2440347071583514,0.29255622787989494,0.4634090649617536
2021-22,2021-10-30,Liverpool,Brighton,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
2021-22,2021-10-30,Man City,Crystal Palace,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6475903614457832,0.15813253012048195,0.19427710843373497
2021-22,2021-10-30,Newcastle,Chelsea,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,1.1223021582721216e-12,0.22302158273356262,0.776978417265315
2021-22,2021-10-30,Tottenham,Man United,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.31512733967474676,0.21816508131328627,0.46670757901196686
2021-22,2021-10-30,Watford,Southampton,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.24233429788502375,0.24135318736727063,0.5163125147477056
