Model,CalibrationMethod,EvaluationSeason,Outcome,PredictedProbability,ObservedIndicator,CalibrationBin
Independent Poisson,Original,2022-23,H,0.7074019613124848,1,7
Independent Poisson,Original,2022-23,H,0.4474489132286962,0,4
Independent Poisson,Original,2022-23,H,0.3982803029590124,1,3
Independent Poisson,Original,2022-23,H,0.5839329463480124,1,5
Independent Poisson,Original,2022-23,H,0.7674862048407812,1,7
Independent Poisson,Original,2022-23,H,0.7847585730387436,1,7
Independent Poisson,Original,2022-23,H,0.2835267320932492,0,2
Independent Poisson,Original,2022-23,H,0.3863263478707152,0,3
Independent Poisson,Original,2022-23,H,0.2203127413333814,0,2
Independent Poisson,Original,2022-23,H,0.3149024906894496,0,3
Independent Poisson,Original,2022-23,H,0.4373414902458244,0,4
Independent Poisson,Original,2022-23,H,0.2324671901632919,1,2
Independent Poisson,Original,2022-23,H,0.544774446084538,0,5
Independent Poisson,Original,2022-23,H,0.2475243217786529,1,2
Independent Poisson,Original,2022-23,H,0.6543618041319572,1,6
Independent Poisson,Original,2022-23,H,0.2758757741976263,0,2
Independent Poisson,Original,2022-23,H,0.636930568503028,1,6
Independent Poisson,Original,2022-23,H,0.8052865018242868,1,8
Independent Poisson,Original,2022-23,H,0.2185712826194518,0,2
Independent Poisson,Original,2022-23,H,0.3031763308188248,0,3
Independent Poisson,Original,2022-23,H,0.0338659238942359,0,0
Independent Poisson,Original,2022-23,H,0.3543127136584306,1,3
Independent Poisson,Original,2022-23,H,0.4701608519866164,1,4
Independent Poisson,Original,2022-23,H,0.0527901863479313,0,0
Independent Poisson,Original,2022-23,H,0.5102519912585644,0,5
Independent Poisson,Original,2022-23,H,0.6164445352767153,0,6
Independent Poisson,Original,2022-23,H,0.7233769504272064,1,7
Independent Poisson,Original,2022-23,H,0.4619099906006283,1,4
Independent Poisson,Original,2022-23,H,0.4686672514227107,1,4
Independent Poisson,Original,2022-23,H,0.3439990126646928,1,3
Independent Poisson,Original,2022-23,H,0.4051263849813085,1,4
