Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Tuned Random Forest,Isotonic,A,7,76,0.7434683886935909,0.6710526315789473,-0.07241575711464354,0.07241575711464354,0.7,0.8
Tuned Random Forest,Isotonic,A,8,20,0.8091911133235256,0.7,-0.1091911133235256,0.1091911133235256,0.8,0.9
Tuned Random Forest,Isotonic,A,9,2,0.9230769230760001,0.5,-0.4230769230760001,0.4230769230760001,0.9,1.0
Tuned Random Forest,Isotonic,D,0,25,0.06224797158740844,0.04,-0.02224797158740844,0.02224797158740844,0.0,0.1
Tuned Random Forest,Isotonic,D,1,356,0.17715577334085744,0.19662921348314608,0.019473440142288634,0.019473440142288634,0.1,0.2
Tuned Random Forest,Isotonic,D,2,1122,0.23618100428646613,0.24598930481283424,0.009808300526368108,0.009808300526368108,0.2,0.3
Tuned Random Forest,Isotonic,D,3,12,0.3140148657774073,0.08333333333333333,-0.23068153244407397,0.23068153244407397,0.3,0.4
Tuned Random Forest,Isotonic,D,4,3,0.46175995781194507,0.6666666666666666,0.20490670885472156,0.20490670885472156,0.4,0.5
Tuned Random Forest,Isotonic,D,5,2,0.5888869549237352,0.0,-0.5888869549237352,0.5888869549237352,0.5,0.6
Tuned Random Forest,Isotonic,H,0,111,0.04126133945231684,0.10810810810810811,0.06684676865579128,0.06684676865579128,0.0,0.1
Tuned Random Forest,Isotonic,H,1,129,0.15913105863444232,0.20930232558139536,0.050171266946953036,0.050171266946953036,0.1,0.2
Tuned Random Forest,Isotonic,H,2,309,0.24519082060828357,0.2977346278317152,0.05254380722343166,0.05254380722343166,0.2,0.3
Tuned Random Forest,Isotonic,H,3,174,0.3461682600990604,0.41954022988505746,0.07337196978599708,0.07337196978599708,0.3,0.4
Tuned Random Forest,Isotonic,H,4,334,0.46243787698920624,0.4880239520958084,0.025586075106602157,0.025586075106602157,0.4,0.5
Tuned Random Forest,Isotonic,H,5,165,0.5428088614895485,0.6303030303030303,0.08749416881348171,0.08749416881348171,0.5,0.6
Tuned Random Forest,Isotonic,H,6,253,0.6523200748781225,0.6679841897233202,0.015664114845197696,0.015664114845197696,0.6,0.7
Tuned Random Forest,Isotonic,H,7,39,0.739612694646522,0.7948717948717948,0.055259100225272806,0.055259100225272806,0.7,0.8
Tuned Random Forest,Isotonic,H,8,5,0.8153414290772169,1.0,0.18465857092278315,0.18465857092278315,0.8,0.9
Tuned Random Forest,Isotonic,H,9,1,0.9040049637772434,1.0,0.09599503622275662,0.09599503622275662,0.9,1.0
Tuned Random Forest,Original,A,0,97,0.08645491538070534,0.09278350515463918,0.006328589773933843,0.006328589773933843,0.0,0.1
Tuned Random Forest,Original,A,1,372,0.1418628900297717,0.14516129032258066,0.0032984002928089506,0.0032984002928089506,0.1,0.2
Tuned Random Forest,Original,A,2,300,0.24302745427632844,0.24,-0.003027454276328445,0.003027454276328445,0.2,0.3
Tuned Random Forest,Original,A,3,267,0.34075911028095685,0.3595505617977528,0.018791451516795954,0.018791451516795954,0.3,0.4
Tuned Random Forest,Original,A,4,139,0.4518326481238207,0.45323741007194246,0.00140476194812178,0.00140476194812178,0.4,0.5
Tuned Random Forest,Original,A,5,191,0.5471490307962483,0.5078534031413613,-0.03929562765488703,0.03929562765488703,0.5,0.6
Tuned Random Forest,Original,A,6,110,0.642454080436144,0.6363636363636364,-0.006090444072507695,0.006090444072507695,0.6,0.7
