Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-12-19,Crystal Palace,Liverpool,1,2020-21,Independent Poisson,A,A,0.0609617871692257,0.1086529992396791,0.830385213591095
2020-21,2020-12-19,Everton,Arsenal,1,2020-21,Independent Poisson,H,H,0.5250529838693823,0.2466202138929003,0.2283268022377176
2020-21,2020-12-19,Newcastle,Fulham,1,2020-21,Independent Poisson,D,H,0.5216805278531954,0.2735939817433984,0.2047254904034061
2020-21,2020-12-19,Southampton,Man City,1,2020-21,Independent Poisson,A,A,0.3577067392921827,0.2624285843003855,0.3798646764074316
2020-21,2020-12-20,Brighton,Sheffield United,1,2020-21,Independent Poisson,D,H,0.4169732573707447,0.2708430227122542,0.3121837199170009
2020-21,2020-12-20,Man United,Leeds,1,2020-21,Independent Poisson,H,H,0.6738036405874722,0.2102821610893915,0.1159141983231363
2020-21,2020-12-20,Tottenham,Leicester,1,2020-21,Independent Poisson,A,H,0.5525629839481174,0.2308032065950353,0.2166338094568474
2020-21,2020-12-20,West Brom,Aston Villa,1,2020-21,Independent Poisson,A,A,0.29382081299232,0.2230338570453581,0.4831453299623217
2020-21,2020-12-21,Burnley,Wolves,1,2020-21,Independent Poisson,H,H,0.3766771056490923,0.2755966238347362,0.3477262705161714
2020-21,2020-12-21,Chelsea,West Ham,1,2020-21,Independent Poisson,H,H,0.6039098719150436,0.2201851354063524,0.1759049926786038
2020-21,2020-12-26,Arsenal,Chelsea,1,2020-21,Independent Poisson,H,H,0.3714425887595594,0.2631975936993184,0.3653598175411222
2020-21,2020-12-26,Aston Villa,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.4044289889831989,0.297092824225854,0.298478186790947
2020-21,2020-12-26,Fulham,Southampton,1,2020-21,Independent Poisson,D,A,0.1989233098855135,0.2203503608136448,0.5807263293008416
2020-21,2020-12-26,Leicester,Man United,1,2020-21,Independent Poisson,D,A,0.3221622358876657,0.252476822510022,0.4253609416023122
2020-21,2020-12-26,Man City,Newcastle,1,2020-21,Independent Poisson,H,H,0.6712659270202672,0.1939162555559248,0.1348178174238078
2020-21,2020-12-26,Sheffield United,Everton,1,2020-21,Independent Poisson,A,A,0.2937524024061286,0.2613934276526093,0.444854169941262
2020-21,2020-12-27,Leeds,Burnley,1,2020-21,Independent Poisson,H,H,0.4755442694937437,0.2560688149886809,0.2683869155175754
2020-21,2020-12-27,Liverpool,West Brom,1,2020-21,Independent Poisson,D,H,0.9286189838128592,0.0552073228743229,0.0161736933128177
2020-21,2020-12-27,West Ham,Brighton,1,2020-21,Independent Poisson,D,H,0.4881952782275481,0.2628114706481313,0.2489932511243205
2020-21,2020-12-27,Wolves,Tottenham,1,2020-21,Independent Poisson,D,H,0.3977260471399578,0.2589219631140192,0.3433519897460226
2020-21,2020-12-28,Chelsea,Aston Villa,1,2020-21,Independent Poisson,D,H,0.6956069260048219,0.1733009947010272,0.1310920792941509
2020-21,2020-12-28,Crystal Palace,Leicester,1,2020-21,Independent Poisson,D,A,0.317258538895964,0.2449596199692866,0.4377818411347493
2020-21,2020-12-29,Brighton,Arsenal,1,2020-21,Independent Poisson,A,H,0.4024821754112992,0.2571992674977563,0.3403185570909447
2020-21,2020-12-29,Burnley,Sheffield United,1,2020-21,Independent Poisson,H,H,0.4541216378243717,0.2797596080263316,0.2661187541492967
2020-21,2020-12-29,Man United,Wolves,1,2020-21,Independent Poisson,H,H,0.6903323396154709,0.1918491775206434,0.1178184828638856
2020-21,2020-12-29,Southampton,West Ham,1,2020-21,Independent Poisson,D,H,0.4978275761799121,0.2663316102225577,0.2358408135975302
2020-21,2020-12-29,West Brom,Leeds,1,2020-21,Independent Poisson,A,A,0.3437918040213744,0.259500191081319,0.3967080048973067
2020-21,2020-12-30,Newcastle,Liverpool,1,2020-21,Independent Poisson,D,A,0.0131387683678736,0.0349280781667533,0.9519331534653728
2020-21,2021-01-01,Everton,West Ham,1,2020-21,Independent Poisson,A,H,0.4812721203351323,0.2833793378972143,0.2353485417676531
2020-21,2021-01-01,Man United,Aston Villa,1,2020-21,Independent Poisson,H,H,0.7704608981391967,0.1492750161287006,0.0802640857321028
2020-21,2021-01-02,Brighton,Wolves,1,2020-21,Independent Poisson,D,A,0.3171354117026812,0.2578562015149444,0.4250083867823743
2020-21,2021-01-02,Crystal Palace,Sheffield United,1,2020-21,Independent Poisson,H,H,0.5241558510601623,0.2501257613061828,0.2257183876336549
2020-21,2021-01-02,Tottenham,Leeds,1,2020-21,Independent Poisson,H,H,0.4953046190375627,0.2614682517461111,0.243227129216326
2020-21,2021-01-02,West Brom,Arsenal,1,2020-21,Independent Poisson,A,A,0.2505464449758134,0.2580994197335342,0.4913541352906524
2020-21,2021-01-03,Chelsea,Man City,1,2020-21,Independent Poisson,A,H,0.4109938078442479,0.2179542813341242,0.3710519108216279
2020-21,2021-01-03,Newcastle,Leicester,1,2020-21,Independent Poisson,A,A,0.2345104405158502,0.2486015833133069,0.5168879761708428
2020-21,2021-01-04,Southampton,Liverpool,1,2020-21,Independent Poisson,H,A,0.0862595303105252,0.1416248263545063,0.7721156433349685
2020-21,2021-01-12,Burnley,Man United,1,2020-21,Independent Poisson,A,A,0.107953408885918,0.1683963835336311,0.7236502075804507
2020-21,2021-01-12,Sheffield United,Newcastle,1,2020-21,Independent Poisson,H,H,0.4577917341291441,0.2560410307523664,0.2861672351184894
2020-21,2021-01-12,Wolves,Everton,1,2020-21,Independent Poisson,A,H,0.4687137460127887,0.2349427915303323,0.2963434624568791
2020-21,2021-01-13,Man City,Brighton,1,2020-21,Independent Poisson,H,H,0.7296926010352265,0.1754393004565347,0.0948680985082383
2020-21,2021-01-13,Tottenham,Fulham,1,2020-21,Independent Poisson,D,H,0.7899708140696312,0.136134273913791,0.0738949120165778
2020-21,2021-01-14,Arsenal,Crystal Palace,1,2020-21,Independent Poisson,D,H,0.6660466897214887,0.1946880992377387,0.1392652110407727
2020-21,2021-01-16,Fulham,Chelsea,1,2020-21,Independent Poisson,A,H,0.3815198542833826,0.272474142461396,0.3460060032552212
2020-21,2021-01-16,Leeds,Brighton,1,2020-21,Independent Poisson,A,H,0.3997077503193122,0.2737246315281365,0.3265676181525513
2020-21,2021-01-16,Leicester,Southampton,1,2020-21,Independent Poisson,H,H,0.5546657168211399,0.2320648663759517,0.2132694168029084
2020-21,2021-01-16,West Ham,Burnley,1,2020-21,Independent Poisson,H,H,0.4922408588706906,0.2571258816981859,0.2506332594311235
2020-21,2021-01-16,Wolves,West Brom,1,2020-21,Independent Poisson,A,H,0.7498853041010938,0.1587130454649239,0.0914016504339823
2020-21,2021-01-17,Liverpool,Man United,1,2020-21,Independent Poisson,D,H,0.5747565568459588,0.2180809906008482,0.2071624525531929
2020-21,2021-01-17,Man City,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.6926928001776613,0.187137229470891,0.1201699703514475
2020-21,2021-01-17,Sheffield United,Tottenham,1,2020-21,Independent Poisson,A,A,0.2131261011962135,0.2232773707590842,0.5635965280447023
2020-21,2021-01-18,Arsenal,Newcastle,1,2020-21,Independent Poisson,H,H,0.6100966407806766,0.2090243520735616,0.1808790071457618
2020-21,2021-01-19,Leicester,Chelsea,1,2020-21,Independent Poisson,H,H,0.5855086850770866,0.2299375538015713,0.1845537611213419
2020-21,2021-01-19,West Ham,West Brom,1,2020-21,Independent Poisson,H,H,0.6865699246038572,0.1973008897234829,0.1161291856726598
2020-21,2021-01-20,Fulham,Man United,1,2020-21,Independent Poisson,A,A,0.0970260991958692,0.1604177476991564,0.7425561531049744
2020-21,2021-01-20,Man City,Aston Villa,1,2020-21,Independent Poisson,H,H,0.8350202793673469,0.1041639234683575,0.0608157971642956
2020-21,2021-01-21,Liverpool,Burnley,1,2020-21,Independent Poisson,A,H,0.8615484826832822,0.0984572656392305,0.0399942516774872
2020-21,2021-01-23,Aston Villa,Newcastle,1,2020-21,Independent Poisson,H,H,0.5932639031908665,0.2467917303742619,0.1599443664348714
2020-21,2021-01-26,Crystal Palace,West Ham,1,2020-21,Independent Poisson,A,H,0.45364163811018,0.2675558595859147,0.2788025023039053
2020-21,2021-01-26,Newcastle,Leeds,1,2020-21,Independent Poisson,A,H,0.4659586957261778,0.24040183759495,0.2936394666788722
2020-21,2021-01-26,Southampton,Arsenal,1,2020-21,Independent Poisson,A,H,0.377859795108588,0.294484259022452,0.3276559458689598
2020-21,2021-01-26,West Brom,Man City,1,2020-21,Independent Poisson,A,A,0.1101327353018904,0.1708858599089745,0.718981404789135
2020-21,2021-01-27,Brighton,Fulham,1,2020-21,Independent Poisson,D,H,0.5978582375818704,0.2289624827104053,0.1731792797077244
2020-21,2021-01-27,Burnley,Aston Villa,1,2020-21,Independent Poisson,H,A,0.3508249554409343,0.2652874390049123,0.3838876055541533
2020-21,2021-01-27,Chelsea,Wolves,1,2020-21,Independent Poisson,D,H,0.573409829961615,0.2242208486487798,0.202369321389605
